InstanceID	R_0	R_1	R_2	Class
42864	1.0	1.0	1.0	0
37469	1.0	0	0	0
41930	1.0	1.0	1.0	0
7815	1.0	0	0	1
43050	0.75	0.75	0.75	0
11440	1.0	0	0	1
8397	1.0	0	1.0	1
15549	1.0	0	1.0	1
12898	1.6666666666666665	0	1.0	1
40400	0.5	0	0	0
10129	1.0	0	1.0	1
12679	2.0	0	1.0	1
6167	1.0	0	1.0	1
24501	0.375	0	0	0
18605	1.625	0	0.875	1
4141	0.8888888888888888	0	0.8888888888888888	1
12458	0.9	0	0.9	1
39639	0.5714285714285714	0.5714285714285714	0.5714285714285714	0
40371	0.9886363636363636	0.625	0.625	0
38251	0.6666666666666666	0.6666666666666666	0.6666666666666666	0
11132	0.7142857142857143	0	0.7142857142857143	1
8889	1.7333333333333334	0	0.7333333333333333	1
17696	0.75	0	0.75	1
40192	0.7	0.7	0.7	0
19862	1.2222222222222223	0	0.7222222222222222	1
40097	0.6666666666666666	0.6666666666666666	0.6666666666666666	0
23993	2.6923076923076925	2.6923076923076925	2.6923076923076925	0
18539	1.6666666666666665	0	0.6666666666666666	1
475	0.6818181818181818	0	0.6818181818181818	1
25480	0.29411764705882354	0	0	0
38654	0.3333333333333333	0	1.0	0
40113	4.082706766917293	2.7142857142857144	4.714285714285714	0
39863	0	0	1.0	0
22323	2.7333333333333334	2.7333333333333334	3.7333333333333334	0
21737	1.4	0	2.0	0
2237	0.8333333333333334	0	0	1
15573	2.4497354497354498	1.0	0.5925925925925926	1
35709	3.909090909090909	2.75	4.25	0
37678	2.764705882352941	2.764705882352941	3.542483660130719	0
624	0.5862068965517241	0	0.5862068965517241	1
21652	2.7777777777777777	2.7777777777777777	3.505050505050505	0
21511	2.4556451612903225	1.0	1.0806451612903225	1
40759	0.9714285714285714	0	1.2637362637362637	0
6565	2.4646464646464645	1.0	1.0757575757575757	1
34757	3.196881091617934	2.7894736842105265	3.456140350877193	0
39873	2.8	2.8	3.4875	0
2812	1.9	1.0	0.42857142857142855	1
6703	0.5714285714285714	0	1.0714285714285714	1
4303	2.492424242424242	1.0	1.1388888888888888	1
4524	0.5945945945945946	0	1.1945945945945946	1
39015	3.196620583717358	2.8095238095238093	3.3809523809523805	0
27838	2.8181818181818183	2.8181818181818183	3.409090909090909	0
23910	4.826086956521739	2.8260869565217392	5.434782608695652	0
7713	0.9083333333333332	0	1.075	1
1004	1.9603658536585367	0	3.11869918699187	1
37398	4.483516483516484	2.4835164835164836	5.06043956043956	0
29908	3.4490196078431374	2.511111111111111	3.659259259259259	0
13745	3.1647286821705425	1.0	2.4147286821705425	1
40402	2.924603174603175	2.5357142857142856	3.12192118226601	0
9013	2.100854700854701	0	2.2777777777777777	1
7459	3.1821946169772257	1.0	2.4440993788819876	1
39772	4.557809330628803	2.5578093306288032	5.120309330628803	0
20997	3.1416666666666666	1.0	2.355072463768116	1
18215	1.258503401360544	0	2.466836734693877	1
6353	1.6684210526315788	0	2.56	1
8257	1.335115864527629	0	2.6393116687234333	1
19517	1.7653846153846153	0	2.707977207977208	1
29317	4.15	2.35	4.65	0
14842	1.3918722786647315	0	2.69236488950217	1
7479	1.8439153439153437	0	2.748677248677249	1
4590	1.4363636363636365	0	2.799266862170088	1
33744	3.1140819964349378	2.2807486631016043	3.590272472625414	0
8356	1.3962848297213621	0	2.7245676580041907	1
20519	1.9375	1.0	0.6176470588235294	1
34703	0	0	0.4666666666666667	0
398	1.8396790305412267	0	2.7160075329566853	1
5852	1.4228070175438596	0	2.7587143534511958	1
6426	1.8976775956284153	0	2.7981959369362306	1
29664	3.9998455598455602	2.142702702702703	4.4488251516822945	0
30389	0.3	0	0.46	0
6632	1.3641304347826086	0	2.6538865323435843	1
36822	0.6234817813765182	1.0	0.7773279352226721	0
36108	5.047064777327935	4.505398110661268	5.518762890535482	0
39528	4.4090738053002205	4.699430199430199	4.569800569800569	0
7292	1.304247990815155	0	2.5027154237653466	1
5365	2.797979797979798	1.9090909090909092	1.5869565217391304	1
36468	3.9022727272727273	4.367857142857143	4.048684210526316	0
21956	5.148948696383516	4.498948696383516	5.631707317073171	0
27849	5.1805194805194805	4.604761904761904	5.672044904248294	0
33475	5.209239809952488	4.692573143285822	5.709239809952488	0
32187	5.235576923076923	4.767045454545455	5.743773644388399	0
18023	2.81140350877193	1.9166666666666665	1.0	1
11229	3.5730769230769237	1.4564102564102563	2.8313186813186815	1
36672	4.045598845598846	4.617027417027417	4.212265512265512	0
10894	2.8144144144144145	1.3285714285714287	2.0586586586586586	1
30546	0.7480739599383668	1.25	0.9090909090909092	0
42000	5.277676287906467	4.643222506393862	5.7851389744736315	0
23973	4.150740055504163	4.699290780141845	4.315445937857104	0
42679	1.2939890710382513	1.368421052631579	1.4550724637681158	0
37937	0.9375	1.4	1.4660714285714285	0
24280	5.32312091503268	4.8105158730158735	5.858332182638314	0
13168	2.021805645335057	0.5333333333333333	2.698300970126034	1
42801	4.156761133603239	4.653328639324063	4.691007708945705	0
29344	2.370967741935484	1.4166666666666667	0.5405405405405406	0
5290	3.7685606060606065	2.296969696969697	2.9544309372797746	1
16668	1.8021354688021354	0.6666666666666667	2.8494529054638345	1
8892	1.921348869359139	0.7692307692307693	2.9869402672086016	1
24294	5.1115923292393886	4.592544710191769	5.637233354880414	0
684	2.421972049689441	0.9375	1.6345934650455927	1
32246	1.458974358974359	0.6333333333333333	0.948076923076923	0
16119	2.232094402967914	0.75	2.9416583268175525	1
21199	2.3380916795030173	0.8235294117647058	3.0469840597072593	1
18179	2.2688888888888887	0.8888888888888888	1.593137254901961	1
24536	4.9261749144102085	4.2892181962390685	5.43807967631497	0
26428	6.39040956763255	5.338671599718111	5.54040956763255	0
36260	6.98810328687331	5.385034556087188	6.511359100826798	0
16192	1.3039178213091256	0	2.3687326361239407	1
16158	2.2350755473327166	0.7833333333333333	2.7693221226751823	1
11639	1.9722193129451195	0.8398268398268398	3.0582143989402057	1
40033	6.767784657722738	5.346052631578948	6.528895768833849	0
10120	2.3566819221967963	0.8532608695652174	3.4400152555301298	1
33251	6.845425382546821	5.357672667425685	6.556294947764213	0
32309	5.790314030044503	4.782211661986736	5.116945345407591	0
30919	0.9103194103194103	1.2062937062937062	0.5212765957446809	0
30516	6.116708074534161	5.444565217391304	4.745881006864988	0
37658	6.98277388210212	5.480170531609893	6.63902388210212	0
38324	7.019008363201911	5.514071967839984	6.666201948539826	0
30163	6.098807728219494	5.546399090345739	5.739624054750106	0
1026	2.4372349279270282	0.7225806451612904	3.0962092869013875	1
27386	1.090909090909091	1.2644444444444445	0.54	0
20309	5.672986684533296	2.3895833333333334	4.963672146114279	1
30076	1.535996835443038	2.253682487725041	1.9454656862745097	0
23438	1.63527183600713	2.2684748427672954	1.9679317446307738	0
15372	2.541043613707165	0.7333333333333334	3.521139921893361	1
7830	3.0725823558304373	0.7680180180180181	3.717714015352789	1
14321	2.8736359046067523	0.8008534850640114	3.879130410101257	1
20681	3.360901612385375	0.8319838056680162	4.016918365011685	1
6779	5.422343422343422	1.7186813186813188	4.737700253829287	1
31357	5.640473302645202	3.6190433396605926	5.449123368176002	0
17082	3.225705329153605	1.696969696969697	2.528947368421053	1
36808	1.867331118493909	1.552544076708939	0.8975225225225225	0
10409	3.053403727128667	0.8681765389082463	4.081688157474953	1
36772	1.1576086956521738	1.5714285714285712	0.9221238938053098	0
36894	1.610092647348709	1.6398133116883118	1.375598086124402	0
34932	6.509307359307359	5.570079043763254	6.789742141916054	0
1264	2.8680992196209587	0.8357487922705313	3.8730497146704637	1
7351	2.820456588322175	0.8607770582793709	3.468937667500834	1
18236	2.8935528430271855	0.8847517730496455	3.540020711728064	1
29600	6.686954745666383	5.183730998933192	6.995463149027727	0
28452	7.06259581158969	4.796707667475738	6.920929144923023	0
12497	3.304939454630872	0.871764705882353	3.93550515871642	1
37629	7.0292239042111175	5.184352745602746	7.34608459954651	0
12157	2.457681854013199	0.8766328011611031	3.4725590908005484	1
35384	2.2627705627705628	1.84029484029484	2.1202974444909928	0
36097	5.744778113762667	5.245276748408986	5.674357061131089	0
38659	6.464696414696415	5.314197902200998	5.619610944610945	0
13908	3.254554599743768	0.8652597402597402	3.884059104248273	1
34925	7.241232446898698	5.26340451037511	7.572171887892486	0
38670	1.205137227304715	1.0822784810126582	1.0348837209302326	0
12996	3.40762592125864	1.8780788177339902	4.402362763363904	1
42838	4.109421593887531	2.5220458553791887	4.074117566511907	0
23098	6.886683703806362	4.836648071972219	6.338423877823763	0
25784	1.9405439595192917	1.1931011718105298	0.5413533834586466	0
29292	7.569466532250766	5.4026585841928165	7.9140111701722695	0
1527	4.101127173128104	1.9938590027020386	3.341269197647432	1
25878	2.402387256756189	1.1102646351242984	1.489930454940597	0
42608	0	0.5977011494252874	0.5474452554744526	0
23585	9.664864682583477	5.447179710177142	10.013628535950911	0
7250	3.365090377548869	1.508904569892473	4.333085840196738	1
2553	3.557247276955306	1.6603174603174602	4.534487448847715	1
24131	1.6517819706498953	1.703494817418868	1.4834730281538793	0
26639	1.7015166324390218	1.1272378516624042	1.513490148049422	0
1165	1.6258741258741258	0.8076923076923077	0	1
23087	9.056000090214201	5.469304378311584	9.425246121960232	0
25165	9.29442667233656	5.514546512064242	9.67197663609342	0
7045	5.298640854833895	2.936026936026936	3.6128338111065186	1
24829	9.460217883721118	5.53676069740406	9.827027765568593	0
27588	9.587560953423134	5.578516858214111	9.962127827990008	0
21935	10.691426581081755	7.618663233318406	11.073473560947527	0
19563	4.285763638362697	2.496223719126352	4.223331795396503	1
8715	2.9761643181665836	1.5828738512949039	3.9224635941118775	1
7814	3.8525159540155935	1.6620490063669688	4.463653172060707	1
39045	7.956425379522395	5.852032189344065	7.953496935417482	0
22357	10.131097878426214	6.991234599931798	10.527490374818711	0
9237	6.6254603050083425	3.8134967265402047	4.453401481478931	1
26530	10.233822948559302	7.02343492347594	10.632931086797875	0
27848	10.326305526410763	7.115602124377942	10.731509483586532	0
10451	3.946528863293569	2.0083916083916082	4.750200547794708	1
10146	5.8816323785897815	3.770606149916495	4.499284266931325	1
27737	4.402408092423572	1.0909090909090908	3.0706582633053223	0
30143	10.240867701872999	7.033063856823954	10.633662732928899	0
16443	4.2893555066205495	2.8535493827160496	4.77375976356579	1
6042	5.826839714072597	3.8177661148091255	4.693681512316836	1
6723	4.913740671666895	3.5602981029810294	5.497305743969454	1
35736	10.228503025000572	6.93436590041732	10.599456145953692	0
34557	10.302994611934684	6.997993654366377	10.679660796398093	0
1572	5.092074571135125	2.584741423451101	3.4745414162806063	1
39858	8.290151605564937	6.01649264649117	8.269577571609993	0
32855	0	1.716005213966775	0.5502958579881657	0
40270	1.1296518607442978	2.2966884873071485	1.1046653144016227	0
3691	5.606846416992764	4.1936747441981055	6.202898378276514	1
22817	2.4163070971581613	2.5035572786706375	2.2413599512807822	0
1529	6.505020019794636	4.467971827023551	5.010370590276786	1
3935	5.379431402631056	4.457438884644767	5.021247925677933	1
24087	8.471638827932246	6.051375974702913	8.829051005918194	0
1340	5.863180675271033	4.489557226399332	5.4944200640656	1
18786	4.0016458507292985	1.8093534372604139	4.646437278207293	1
41522	4.091236313248341	2.4557052752293576	3.114765248796148	0
15768	4.008501815856441	2.7412442396313366	5.1210278722483515	1
42808	2.3759419979284977	2.4166157107333577	2.2154684095860566	0
42611	4.720283479960899	3.443518472621526	4.557567386572911	0
13923	8.504502259874343	5.487581938838945	5.327564710809618	1
22797	1.9417710944026734	2.0897243107769423	0.9850445786597641	0
4401	5.612018684062606	4.229686308161709	5.677454011511664	1
21591	5.279729738947856	4.36497291184515	5.311285573645177	1
34955	10.122009619894035	6.910725025375414	10.476601254935147	0
34120	0.711864406779661	1.089462848586936	0.5454545454545454	0
14744	6.6189699273601414	3.6530648295354173	4.121964146752908	1
