InstanceID	R_0	R_1	R_2	Class
42864	648.6808524980235	134.35421288057177	221.13020495708759	0
37469	216.1145585994381	141.71082928390624	214.19524359331032	0
41930	656.5504018715301	153.6653844479284	222.21342767838038	0
7815	275.48722694818605	257.7084987455132	329.2992674434261	1
43050	698.9639085083822	176.78195223429162	237.87948413926216	0
11440	891.6189482185251	553.5685409825204	796.0048356759559	1
8397	561.8085370635837	415.80507740746197	551.9214994189285	1
15549	641.1526755182915	407.70136128009153	588.38918464807	1
12898	212.25790514923062	199.1376477734587	269.0525069565937	1
40400	537.3873499775576	212.4673544898113	493.277154172917	0
10129	774.0939014866971	521.8595799637534	708.0856720697369	1
12679	1018.5104638854833	698.7341604154556	892.6956702006408	1
6167	569.7334928596882	418.25111994954307	550.9201911199777	1
24501	171.06852590243773	134.2964548438012	152.85614016732214	0
18605	150.6856072890715	159.8937026423631	220.6421215101026	1
4141	546.7786697473409	382.14355616069486	524.4060674722427	1
12458	882.5301769371214	593.637504234492	796.8712156073245	1
39639	560.6643352026642	172.51568078024417	235.13595016335148	0
40371	470.18656526812333	169.26139624638083	203.86728041186197	0
38251	915.1025615674068	301.5904891294658	648.6540724057642	0
11132	766.6976861615915	546.7866536025797	710.826772181662	1
8889	1007.0447857047358	681.4163658175311	914.0016063162981	1
17696	802.0254648725135	562.6607553701533	742.9606233620553	1
40192	670.2239336836351	158.88810614067864	242.64822237180405	0
19862	347.8496008074209	293.4082889598776	382.36902529025974	1
40097	657.2251076452325	228.8905173006714	372.8779152185461	0
23993	663.1892492214248	149.2414807100152	226.06287030023347	0
18539	931.799427332885	586.6436882176788	797.7866393648975	1
475	663.7011243543993	475.68132129150285	627.8783220375955	1
25480	117.74581608647908	105.24978756496758	214.5620321119695	0
38654	130.85935534319083	124.87797067198146	147.6913570407494	0
40113	926.4210345421404	308.6594972011571	724.9913507771547	0
39863	788.9999386429662	225.69548229384023	366.09188167835225	0
22323	653.8791756246065	151.61377488458015	227.51984459662464	0
21737	209.98649716963058	143.00840662894694	225.8314974754534	0
2237	694.2767683355858	436.9254607546909	534.2930104730818	1
15573	770.8040596390379	472.24420577007083	616.4900563792564	1
35709	507.9204226275245	201.51637408598202	440.0270382847255	0
37678	642.1196026479577	123.5974401872758	219.6496020763668	0
624	866.5923243964256	555.2234276696506	786.1787437077884	1
21652	828.673925496958	236.35775944406834	547.7481782765849	0
21511	823.2837913563189	501.71093078828653	683.451096008574	1
40759	139.67460067058263	125.33608729064917	213.1842865439736	0
6565	1045.4150894456477	718.7214096863632	925.1378933115669	1
34757	416.38018030645185	168.9101052425106	191.68638004934064	0
39873	654.7671921356533	150.93415220430148	220.26491664365267	0
2812	637.442363425906	432.0020345769393	551.8872870510659	1
6703	860.6315770084843	586.380972828588	766.894772274146	1
4303	1009.9287398883762	660.8547958848201	901.2249910207504	1
4524	696.9406889835261	513.1847977000925	657.0049087326483	1
39015	475.39949233567944	192.21793534683175	252.66596237274445	0
27838	662.5451048229727	150.21035193576301	248.5176992313369	0
23910	668.5893177501256	139.31079756130023	227.81093856437303	0
7713	518.8943919540868	412.12969628887356	519.7553484235425	1
1004	384.6232337386822	305.9121657897032	408.4960778013089	1
37398	655.7941650495144	149.41851745959394	224.39961777178993	0
29908	878.5764457532651	299.03794312393035	699.0412136028137	0
13745	880.1491733415721	552.2930529524524	755.9790640798896	1
40402	496.39545881223495	177.59246772427275	240.36350793409127	0
9013	992.1760750536538	663.8403461372056	873.1438014531827	1
7459	1066.5732071028385	699.976425648699	952.1159173657337	1
39772	689.0130568657212	153.67402697297868	260.26290941280655	0
20997	870.2676361643191	550.5191996390178	737.4244848583857	1
18215	721.1041514320806	527.55609165614	680.7732585767218	1
6353	347.4731932081622	273.32240107328505	381.55010873352666	1
8257	941.4372526448938	648.0353715304973	847.4340142405949	1
19517	262.9888253601089	248.5004277238717	321.5988736323645	1
29317	690.2294853738413	171.41791689548668	287.39687509676327	0
14842	897.2876220332497	563.6102849259456	809.9959818826487	1
7479	297.8054590377939	249.37415175570794	338.7671090769383	1
4590	801.7379280792165	528.5425718991321	737.2509857680454	1
33744	728.9602710213693	250.84843522088832	473.8727471732359	0
8356	876.0792351175369	600.5739713369044	792.0735124484892	1
20519	693.8796540438206	457.58344798768485	570.0357972044823	1
34703	62.51934448208372	99.4501193177635	167.1263567223448	0
398	468.09207929348236	360.5909255287598	472.57839501000313	1
5852	587.3037514054826	384.00333348537896	515.7045661440721	1
6426	422.30033816500446	329.75293759865133	448.7220670190156	1
29664	536.0376949039797	164.06094948743097	209.0301681237427	0
30389	222.95523088082564	137.1957645187618	162.9677353928744	0
6632	553.4240094639753	353.6818111985627	478.11629524459346	1
36822	225.77338643020713	152.2717401850808	212.76252849202876	0
