R_0 R_1 R_2 Class
657.6000 26.1400 1.4400 1
400.4000 29.2000 0.0000 1
1079.2000 27.9000 3.3800 1
630.4000 26.9400 1.3000 1
825.5000 26.9000 2.9000 1
444.0000 23.4000 0.9000 1
660.1000 27.0400 0.0000 1
613.5000 23.5500 0.9000 1
692.3000 26.7000 2.2000 1
839.1000 27.1500 0.0000 1
651.0000 26.4000 0.0000 1
483.0000 24.3800 0.0000 1
731.6000 26.5100 2.0700 1
816.4000 26.8800 0.0000 1
804.5000 29.5500 2.0000 1
820.0000 27.6000 1.8000 1
827.0000 26.8000 0.9000 1
451.4000 22.2800 0.7000 1
424.6000 21.7400 0.0000 1
588.0000 24.9600 0.0000 1
940.0000 27.2500 1.5500 1
281.5000 23.9500 0.0000 1
666.1000 26.8500 1.8000 1
853.0000 25.5000 0.0000 1
729.4000 27.4000 1.5000 1
642.9000 24.6200 0.0400 1
520.2000 25.0800 0.0000 1
794.0000 28.2100 0.9400 1
566.1000 24.6300 0.0000 1
567.8000 27.1000 1.3900 1
406.1000 23.7600 0.0000 1
861.0000 27.3000 0.0000 1
498.8000 28.2400 0.0000 1
722.0000 27.4000 1.8000 1
684.8000 23.8100 0.0000 1
719.9000 25.8500 0.0000 1
720.0000 28.2000 2.7000 1
789.5000 28.5700 0.7500 1
713.3000 29.4400 1.8000 1
542.2000 23.0000 0.0000 1
231.1000 22.3400 0.0000 1
779.2000 25.9700 0.0000 1
513.8000 25.2100 0.0000 1
722.2000 26.8800 1.8000 1
881.8000 25.1600 1.2200 1
778.8000 26.5800 0.0000 1
568.2000 25.6400 0.0800 1
361.0000 23.5000 0.0000 1
791.5000 29.4000 2.7400 1
665.0000 28.8000 1.8000 1
365.3000 22.7000 0.0000 1
390.8000 22.9200 0.0000 1
728.8000 25.6400 0.0000 1
499.2000 30.0200 0.5400 1
630.4000 25.3600 2.7000 1
331.0000 21.8000 0.4000 1
712.8000 29.0200 1.3000 1
673.6000 27.1400 1.5000 1
1097.0000 25.9400 1.3500 1
839.7000 28.3900 2.2000 1
641.6000 25.7000 0.4000 1
212.0000 27.8600 0.0000 1
567.0000 25.2500 0.0000 1
750.0000 21.9000 0.0000 1
919.8000 29.1600 0.4000 1
702.0000 25.9800 0.5000 1
947.7000 26.7900 0.0000 1
569.0000 26.6600 0.0000 1
280.0000 26.0000 0.0000 1
763.0000 26.2000 1.3000 1
808.2000 24.2100 0.1200 1
