InstanceID	R_0	R_1	R_2	R_3	R_4	R_5	Class
2413	287.51678484355097	1464.9180034447566	283.35380450460246	308.7836397507403	610.4263030081171	1134.675024136321	0
1364	93.75326821837294	1327.5392335846695	255.8209458777241	183.43964995058315	1056.647385088232	1043.6353167861732	0
680	63.27159949757912	1138.7007611805095	240.31526817058915	357.2006827063881	975.9059278235144	921.5788117392793	0
230	285.5931427894549	1396.9289444062742	190.73912924928916	307.4796241759078	1282.5408080322745	1139.808364557557	0
2786	114.2939920139885	1107.0115289709822	212.48951127201653	96.48816217693431	1216.511894059828	898.0760586762019	0
114	243.18045078687635	1370.3705082217548	177.62812518330603	308.4412831202187	1121.7970292167097	1056.953178164044	0
1863	457.82513631948655	1603.7440098138024	346.847930996593	369.1747522200309	917.3813627992515	1179.4422535844733	0
494	388.9786139807141	1053.82439308793	293.1290726866521	244.81476633321103	637.025893113014	862.0050096563691	0
4031	387.35879498669277	1535.6361279186299	308.1987875450806	359.9660455068009	719.3634440816579	1194.8829740170593	0
2113	75.13803829734483	1034.845000298233	178.9302934753349	327.6198721238667	1229.2368954203876	834.4793252566708	0
339	338.1739591069479	913.0896739195781	282.537722009852	303.55506673115303	511.29558805301104	675.8416281968225	0
564	321.6771773135836	1349.932901713068	258.9201153626225	312.1411938547225	770.3703220116191	1078.901410678022	0
2610	429.2588593432485	1576.700617038067	277.8513637770182	372.50542321119815	916.7136780026416	1227.2741562063504	0
2241	199.1430442605723	1194.832391672878	160.48754800049406	310.35898816538395	1291.4746982497566	956.2333202840672	0
2367	278.6967416116918	1171.8695875451542	251.31658503848914	359.0530839087045	700.8017988361032	916.960744701401	0
1334	176.6528060017546	1418.3195893433626	243.76012000628026	279.16894951133935	895.195120984812	1109.319326193369	0
3532	96.73073574594208	1253.098685441944	224.78819735358022	289.59803880808147	995.8739623624641	992.5699493830515	0
741	153.15825725587837	1018.7609751049931	131.73931026377878	298.58923960013504	756.512288156622	837.111020356584	0
3026	282.79437470178755	1162.9419447325606	197.14285487844464	385.40058233568953	1072.343921961699	904.5814815170181	0
3997	437.0819568797705	1489.1430884863014	248.52901540085617	343.1934342259341	700.9820671331607	1128.721548106897	0
4219	147.88303292474254	1382.3822524669645	274.3559023800743	257.5021135669423	1152.5698523318845	1108.9341503231692	0
4183	224.86039831615017	1480.5049173606433	302.3539761495371	268.7189375834291	983.8938234225815	1168.7673068257134	0
194	279.51890766316694	1354.1488736408664	192.72882614527668	311.3735190382787	1272.2921448753732	1099.2689896970414	0
3067	320.10532516690444	1045.3239854567187	286.9630971483921	421.20146738994146	1045.3206683992034	771.51179651609	0
1245	387.8617921235875	1518.6635909654658	240.08935073213894	408.5952422238314	903.8429646765786	1210.9252372891847	0
4027	421.8727388113547	1561.3957993434933	320.33623766808915	396.0151558751219	803.2080544316124	1195.9046205712643	0
3440	348.8753048970845	1455.9822584763406	252.53211553438408	333.84230680494477	944.2934242978657	1147.307617370724	0
1326	191.45242875072694	1408.2800723511739	235.04509825122832	340.2858276624627	874.191861884927	1111.6699103578117	0
2062	131.01781740019914	1193.251195564305	221.41074936505092	362.87463173778895	1206.3114121292729	966.3074170162347	0
691	55.363383907593835	1048.737365350517	222.27934476704996	343.10714573517004	1118.9299516317476	854.9902681840853	0
4195	166.50952480893176	1369.6718758905051	257.2733194074804	99.85077564623205	1127.7362965251073	1102.143330707001	0
452	373.0507908196804	884.2709531715352	325.2860823829622	337.05162206449637	1047.7730649757414	689.9641027756104	0
2135	57.364418198155924	1015.2973496895866	169.31938297259182	329.8153283130331	1177.7844403742656	823.0017868529801	0
923	273.61313554982064	1339.6348637284395	271.51927905679037	317.6649036894407	868.584407906575	1072.5906996753445	0
3286	440.27450769590075	1540.963897414314	259.4355261290004	354.91166033951316	797.8356304042132	1168.6228841008444	0
1057	389.6626126631778	1432.4003615967745	251.63992909513647	386.20137715479973	596.8860785455375	1109.1233557456108	0
1400	58.28203312414299	1265.0306946666753	254.38468020712187	305.10971589769986	1097.193041568815	1023.4331943448665	0
3555	69.14746069879453	1116.003137183761	238.5927440095845	278.44566531788735	1095.5460169172718	912.1417383657017	0
602	209.44172101241483	1286.9410933415068	221.07429544477623	365.9414373416687	550.716782898332	992.2392904126904	0
3045	260.5834427895413	942.3264192285351	207.6348632253004	381.8680706492457	1226.6541238774864	691.8348501426033	0
1368	93.77246307926691	1331.0436532389895	250.86172551405198	183.525818301892	1098.4792021281794	1052.230312071969	0
2111	75.14890480163125	1038.0567647856872	179.1158870460583	328.896931486657	1227.3925195109675	834.7577151225854	0
