InstanceID	R_0	R_1	R_2	R_3	Class
29891	133.39439920908643	1955.7582071204508	388.0972732832074	334.42446952117575	0
136	237.4510695987508	2379.7185124542666	403.20627405982407	381.1984386460066	0
23824	234.45286247426216	2145.9536108071284	362.66451036869677	384.13858207398425	0
92	127.62833486265792	2371.9200948867847	491.82604862296864	339.4315126472031	0
14147	155.03883650972264	1160.466182201584	184.9580528289313	423.7994738529395	0
5397	192.07841780215824	2239.0213995887575	382.8223032428253	338.4572542659489	0
27858	223.11612432243263	2400.7245193157623	405.3510024919273	336.8073370711542	0
20660	209.6720798209094	2324.1820962269835	507.47263002584623	338.46466163148494	0
19724	209.6732612726522	2328.6093818335494	493.36790191128665	338.4701284214571	0
4716	160.8927231440845	1673.8858831699877	423.9694809938923	444.03634747852647	0
24432	122.82012476855826	1041.7312908230763	289.2930995272896	423.83617616840604	0
6447	180.99785901718596	1453.9131028872105	389.94547283250074	377.09685524908065	0
9345	257.8911234042054	1842.243526573679	486.3221837027369	439.46037052756697	0
10351	262.5428330054621	2384.7279383866116	458.1443565543694	381.97211304546045	0
12238	181.28761476082767	2242.0585324112326	506.8507278423523	379.99076996754206	0
12866	247.13849883577285	1556.5718571893456	437.6052784860014	434.50927514850326	0
19638	264.99023277573804	2255.267712014055	223.44326647236616	454.1599659342948	0
25962	202.56058778096335	1847.4036717623264	369.5524361759378	431.1898568117699	0
29398	118.20164267862005	1113.6552408595426	490.56905611996626	424.8910469601513	0
9791	167.5839695274981	2240.1560743661803	445.078968548552	339.5208437412959	0
35316	160.0181063040891	2174.9623296226564	510.78425221464994	336.8267392998382	0
7367	122.75124003183979	1953.8697259639644	328.1184404182777	335.5170918912964	0
34976	258.8834845174305	2349.4357569763733	486.1610026579643	436.86075401460823	0
11228	209.68488623340858	2289.266308870979	504.94020656383526	339.53735983075876	0
30221	260.65399025451705	1130.322066419733	505.00061176939994	421.11385586592365	0
9699	253.3030887764686	2329.346022537681	344.8108849282139	439.87709810165364	0
25043	255.27009632625212	1470.4597115405415	487.4408404752558	424.34766524303564	0
12941	20.137700043585028	126.72878801746032	68.62267439535661	75.90817703497181	1
29073	257.77678536755855	1684.3029223343876	443.1322850563341	378.1623597818062	0
25518	135.05270486753147	1485.969667404986	364.30330782783454	373.8959619767641	0
20117	155.3572082345463	434.2867541920143	267.2905503187569	303.788345485126	1
6692	209.5956012936658	2240.0352947934866	495.3582053895215	339.2768809034975	0
9180	158.99889188099493	827.4640246443385	486.2061467526103	332.31800488544405	0
7212	125.4006812658341	420.763260694865	266.44520138406506	293.2297521237394	1
31463	168.51363977936953	2241.0056979262968	503.1261395603993	441.1369842561471	0
33906	222.06437438644934	2241.987344823522	453.56393117153294	341.18072542966496	0
27896	141.793778353657	508.5889384690415	256.1123984441531	420.7152324891994	0
27356	210.60142463124097	2365.8961109830257	493.8115513904553	366.21411978502965	0
19583	167.51811598731248	2289.126508976226	500.24447834497073	383.6336957724627	0
3119	122.39583628301106	1400.2127498811724	493.7125098068676	334.21786298163005	0
35127	243.03506817092278	2244.027961006898	471.6273913501325	341.22375663165377	0
6504	121.48630252812724	1350.693537724984	386.52883932849596	332.2633019634966	0
17718	115.61732632399553	2325.6723428853	295.684650589842	344.24059437776344	0
33508	127.71152108940557	1108.5829722348772	482.6591946976831	421.72066831592645	0
23841	130.28168284536295	2297.8549300694663	418.5476762710495	340.24003785370286	0
13847	120.65069789047583	1232.6420068199122	482.84016256975303	333.29693198802056	0
7740	160.01853734515927	1183.1162775832966	315.16984979850645	334.30518851832335	0
29385	128.3048830291679	2189.3305262217136	318.1641423278165	444.2259538074814	0
10182	133.92576569544812	1697.8553261773516	495.2734524474694	437.16420039359025	0
31353	61.560739278530356	209.32371838433772	117.04260194368963	87.12997204021265	1
20581	253.5285423374039	2383.453450863545	499.8909918711319	384.68091035634274	0
29288	257.82148747124876	2397.640253132735	442.4062442920194	445.11249283338896	0
36416	256.82506141849404	2330.0355674779094	495.3433428572498	440.51162125212426	0
22785	142.7853133302939	1404.4841078059349	335.2435380833935	335.17956394171034	0
28006	183.22548814914742	2295.1994376127413	503.73623172359356	456.8555217228543	0
20378	108.44608055342366	2342.5517914356574	329.9538208690546	345.2840440567305	0
30110	141.0879344660853	2407.159389717048	238.58381565628738	457.85851254022174	0
