R_0 R_1 R_2 Class
594.7000 25.4000 0.0000 0
593.8000 25.4000 0.0000 0
592.9000 25.4000 0.0000 0
592.0000 25.4000 0.0000 0
596.6000 25.4000 0.0000 0
601.2000 25.4000 0.0000 0
605.8000 25.4000 0.0000 0
610.4000 25.4000 0.0000 0
615.0000 25.4000 0.0000 0
619.6000 25.4000 0.0000 0
624.2000 25.4000 0.0000 0
628.8000 25.4000 0.0000 0
633.4000 25.4000 0.0000 0
638.0000 25.4000 0.0000 0
645.6000 25.4500 0.0000 0
653.2000 25.5000 0.0000 0
660.8000 25.5500 0.0000 0
668.4000 25.6000 0.0000 0
676.0000 25.6500 0.0000 0
683.6000 25.7000 0.0000 0
691.2000 25.7500 0.0000 0
698.8000 25.8000 0.0000 0
706.4000 25.8500 0.0000 0
714.0000 25.9000 0.0000 0
716.3000 25.9600 0.0000 0
718.6000 26.0200 0.0000 0
720.9000 26.0800 0.0000 0
723.2000 26.1400 0.0000 0
725.5000 26.2000 0.0000 0
727.8000 26.2600 0.0000 0
730.1000 26.3200 0.0000 0
732.4000 26.3800 0.0000 0
734.7000 26.4400 0.0000 0
737.0000 26.5000 0.0000 0
744.3000 26.5400 0.0000 0
751.6000 26.5800 0.0000 0
758.9000 26.6200 0.0000 0
766.2000 26.6600 0.0000 0
773.5000 26.7000 0.0000 0
780.8000 26.7400 0.0000 0
788.1000 26.7800 0.0000 0
795.4000 26.8200 0.0000 0
802.7000 26.8600 0.0000 0
810.0000 26.9000 0.0000 0
813.0000 26.9500 0.0000 0
816.0000 27.0000 0.0000 0
819.0000 27.0500 0.0000 0
822.0000 27.1000 0.0000 0
825.0000 27.1500 0.0000 0
828.0000 27.2000 0.0000 0
831.0000 27.2500 0.0000 0
834.0000 27.3000 0.0000 0
837.0000 27.3500 0.0000 0
840.0000 27.4000 0.0000 0
835.8000 27.4400 0.0000 0
831.6000 27.4800 0.0000 0
827.4000 27.5200 0.0000 0
823.2000 27.5600 0.0000 0
819.0000 27.6000 0.0000 0
814.8000 27.6400 0.0000 0
810.6000 27.6800 0.0000 0
806.4000 27.7200 0.0000 0
802.2000 27.7600 0.0000 0
798.0000 27.8000 0.0000 0
795.3000 27.8200 0.0000 0
792.6000 27.8400 0.0000 0
789.9000 27.8600 0.0000 0
787.2000 27.8800 0.0000 0
784.5000 27.9000 0.0000 0
781.8000 27.9200 0.0000 0
779.1000 27.9400 0.0000 0
776.4000 27.9600 0.0000 0
773.7000 27.9800 0.0000 0
771.0000 28.0000 0.0000 0
758.2000 27.9700 0.0000 0
745.4000 27.9400 0.0000 0
732.6000 27.9100 0.0000 0
719.8000 27.8800 0.0000 0
707.0000 27.8500 0.0000 0
694.2000 27.8200 0.0000 0
681.4000 27.7900 0.0000 0
668.6000 27.7600 0.0000 0
655.8000 27.7300 0.0000 0
643.0000 27.7000 0.0000 0
645.6000 27.7100 0.0000 0
648.2000 27.7200 0.0000 0
650.8000 27.7300 0.0000 0
653.4000 27.7400 0.0000 0
656.0000 27.7500 0.0000 0
658.6000 27.7600 0.0000 0
661.2000 27.7700 0.0000 0
663.8000 27.7800 0.0000 0
666.4000 27.7900 0.0000 0
669.0000 27.8000 0.0000 0
649.6000 27.8000 0.0400 0
630.2000 27.8000 0.0800 0
610.8000 27.8000 0.1200 0
591.4000 27.8000 0.1600 0
572.0000 27.8000 0.2000 0
552.6000 27.8000 0.2400 0
