Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[1, 3]	[[-136.4, -120.21880096982116], [-0.76, 1.71]]	0	0.1	1.0	1	4.9509631999999995	55	55	0.5	4.9509631999999995	0	0	0	0	1
[3, 2, 1]	[[1.814, 4.334], [23.0045, 19.29], [-17.060000000000002, 433.06]]	0	0.1	1.0	1	33.862642272090405	431	431	0.75	33.862642272090405	0	0	0	0	1
[3, 1, 2]	[[1.0660000000000003, 0.76], [-136.4, 559.02], [25.277, 33.323]]	0	0.09915966386554623	0.9915966386554622	1	51.43160794167156	499	499	0.75	51.43160794167156	0	0	0	0	1
[0]	[[0.5890629999999999, 0.29931]]	0	0.1	1.0	1	61.412724437180785	648	648	0.25	61.412724437180785	0	0	0	0	1
[1, 2, 3, 0]	[[-135.07999999999998, 220.79795651881986], [22.93976974925338, 26.0875], [-0.76, 1.178], [0.6043525000000001, 0.29931]]	0	0.1	1.0	1	67.54995304449082	755	755	1.0	67.54995304449082	0	0	0	0	1
[3]	[[3.284, 5.716]]	0	0.9786585365853658	0.9786585365853658	3	631.3974669929343	99985	2807	0.25	1894.1924009788027	2889	2952	1097	1120	1
[1, 3, 2, 0]	[[-104.88000000000002, 220.79795651881986], [-0.76, -0.76], [16.310000000000002, 22.9053134253056], [0.20069, 0.4003955]]	0	0.1	1.0	1	259.0296772189859	3221	3221	1.0	259.0296772189859	0	0	0	0	1
[3]	[[-0.76, 0.95]]	0	0.9413796826082262	0.9413796826082262	5	746.8303898379285	99998	9036	0.25	3734.1519491896424	52320	55578	21212	22536	1
[3]	[[2.612, 4.588]]	0	0.966276213867372	0.966276213867372	2	647.2334657416577	99985	9341	0.25	1268.5836643541443	10229	10586	4151	4292	1
[0]	[[0.580804, 0.7385959999999999]]	0	0.9886532870009219	0.9886532870009219	4	771.4701059445297	99971	11641	0.25	3085.8804237781187	27882	28202	11642	11776	1
[1]	[[-136.4, 170.5]]	0	1.0	1.0	11	796.4023059735584	99998	11764	0.25	8760.425365709143	30629	30629	12816	12816	1
[3]	[[-0.76, 1.406]]	0	0.9397985885338197	0.9397985885338197	1	749.956310034745	99998	12116	0.25	749.956310034745	59259	63055	24880	26474	1
[0]	[[0.534456, 0.771144]]	0	0.976623238782604	0.976623238782604	5	740.7675430077458	99971	12396	0.25	3756.0471437984106	36806	37687	15500	15872	1
[0]	[[0.516518, 0.733482]]	0	0.9724470237461399	0.9724470237461399	2	740.6396181173644	99971	12675	0.25	1502.099045293411	36529	37564	15433	15872	1
[1]	[[-119.96000000000001, 170.5]]	0	1.0	1.0	5	796.4023059735584	99998	13229	0.25	3982.011529867792	30136	30136	12816	12816	1
[1, 3]	[[-119.6, 170.5], [-0.7019999999999998, 1.5019999999999998]]	0	1.0	1.0	2	794.8727242377256	99998	14761	0.5	1589.7454484754512	24747	24747	10710	10710	1
[0]	[[0.20069, 0.33046850000000005]]	0	0.9803586678052946	0.9803586678052946	4	717.393883564056	99998	15750	0.25	2869.575534256224	13776	14052	6022	6144	1
[0]	[[0.646266, 0.7843340000000001]]	0	1.0	1.0	4	796.7355997110176	99909	17050	0.25	3186.9423988440703	16130	16130	7168	7168	1
[1, 3]	[[314.5745951973994, 668.3], [2.784, 5.216]]	0	1.0	1.0	13	647.2868180373707	99985	17738	0.5	8246.660793107274	1977	1977	886	886	1
[3]	[[-0.76, 1.14]]	0	0.9415401567091087	0.9415401567091087	2	746.8303898379285	99998	19778	0.25	1493.660779675857	46143	49008	21212	22536	1
[1]	[[253.85999999999999, 622.14]]	0	0.9482995725701543	0.9482995725701543	1	706.7604729568224	99985	22545	0.25	708.700591196028	25514	26905	12139	12808	1
[2]	[[25.419999999999998, 31.38]]	0	0.9244172425910742	0.9244172425910742	1	691.5635744075009	99985	24533	0.25	689.7044680093761	31567	34148	15412	16676	1
[1]	[[-119.6, 170.5]]	0	1.0	1.0	12	796.4023059735584	99998	27197	0.25	9556.827671682702	25308	25308	12816	12816	1
[2]	[[21.388499999999997, 25.4115]]	0	0.951008201270272	0.951008201270272	1	760.720733008701	99909	27233	0.25	760.720733008701	30845	32434	15622	16424	1
[3]	[[2.784, 5.216]]	0	0.9740120274914089	0.9740120274914089	2	644.7391496836975	99985	27413	0.25	1262.3478742092439	4535	4656	2303	2364	1
[1]	[[636.58, 1059.42]]	0	0.7848169418521177	0.7848169418521177	1	716.932030866298	99921	32885	0.25	716.932030866298	8746	11144	4804	6120	1
