InstanceID	R_0	R_1	R_2	R_3	Class
29891	295.64241890173895	5953.536964239546	929.5952739171823	814.5296403961676	0
136	806.1554056892752	7255.7231885442525	918.5259874179965	910.7383045206892	0
23824	802.1595092305682	6494.763130764837	827.7280443744371	913.6898051107953	0
92	292.89444947074696	7239.693843185059	1170.395049692613	820.5627306496281	0
14147	467.82851677367773	3802.344759818866	428.36200756008856	1033.7741450811484	0
5397	713.4869113904845	6757.059228086213	920.9177383846048	819.6060942732919	0
27858	775.5224142281186	7255.504576908729	921.7165746810155	813.76966501257	0
20660	738.762975684661	7016.700387495802	1213.2226542645715	818.6230510721452	0
19724	738.7660445883024	7053.286772043745	1155.1791821229185	819.6371381652222	0
4716	505.1384987930102	5203.989430209879	974.2953664861762	1050.6842990106634	0
24432	296.17715395075925	3469.1606135039574	655.8082503034809	1033.8618161967258	0
6447	599.3387493511718	4532.083334833442	888.8677513856048	904.7567602363403	0
9345	846.714111337411	5660.776975756833	1107.899566995883	1016.1148600318121	0
10351	854.3479763071277	7214.548107643404	1108.1267481721682	929.08068442185	0
12238	690.2206590734221	6802.7959782441085	1215.2726152093985	926.1094435622315	0
12866	811.9119047389386	4831.820582267056	1016.3895503127513	1011.1568581245464	0
19638	856.1393245735054	6770.4789402816505	513.6371581037677	1063.8401138574254	0
25962	645.9369860178602	5668.216904526819	847.9945034615412	990.5071536024449	0
29398	287.8334534660203	3653.9610242445187	1152.2621492028686	1035.9850435127628	0
9791	658.1934231924728	6761.378048095325	1082.0757738837904	821.7568765892689	0
35316	504.3075029862469	6581.61224284332	1219.2438342051873	812.9070904884028	0
7367	295.35943796300614	5969.659609852336	749.4025369177831	816.749691427757	0
34976	842.3648000028326	7077.934192934942	1166.6503118323453	1049.9848109055781	0
11228	738.7975919657497	6919.894545418805	1207.4133599105505	820.7982827518106	0
30221	862.9965195783478	3708.1435207018944	1189.6471085981393	980.4328784649982	0
9699	831.9916145808694	7022.1081025986105	849.9763305583909	1052.999543240973	0
25043	849.5628864804073	4597.599010717415	1106.0263006246316	982.7103570830847	0
12941	30.86971972687461	367.117069027076	134.45056168081493	160.692607095428	1
29073	848.3768178518933	5226.189752534428	1020.0176672584388	907.7328439473611	0
25518	362.83248769663123	4646.243915087685	837.5751449327794	917.9286085276248	0
20117	263.3504962944949	1135.9752977855871	513.2095142135054	629.6013600043336	1
6692	738.5885041334915	6759.999883886762	1197.6536134262572	820.3097941863969	0
9180	502.7087077096659	2849.665127995248	1151.597297763222	812.3635926273217	0
7212	210.8715490858807	1100.232221799119	515.9241020438577	622.0569189860456	1
31463	659.020233699063	6763.361776031217	1209.4454124557355	1019.1067745892277	0
33906	773.3814844383362	6759.534763974024	1104.9630474474393	822.8384252226608	0
27896	415.2803918192484	1885.7174873060826	581.9056910221735	980.9026236255752	0
27356	740.5970721495955	7164.046276580261	1155.6261897596917	861.2408087849277	0
19583	658.0343192250043	6899.724988210622	1203.118795870205	928.2556723049273	0
3119	293.8219336830085	4384.916235732737	1198.0919977268275	814.0209006390786	0
35127	817.3041919549285	6760.834433520519	1139.013774014983	823.056526116139	0
6504	292.93716677282026	4239.50923122002	886.635996788068	812.1215539251363	0
17718	261.15187887720714	7021.574658936504	738.4900713839279	825.1212919777498	0
33508	329.98352123027865	3636.214113965719	1102.436417338325	980.5793400896181	0
23841	288.53660531962475	6824.17923592709	1028.189199279574	822.1523073016492	0
13847	292.9153537754819	3963.151654945018	1107.5049377851456	813.2285054863727	0
7740	503.0082003562625	3856.817569436419	725.3101962316958	814.2527712756719	0
29385	287.56031355896766	6607.380826974637	795.0988059939115	1021.580207041366	0
10182	362.4518725065206	5248.58896699346	1187.085977589503	1014.4336904743348	0
31353	95.94121749487107	613.754393222726	208.99447761447058	143.65233666706257	1
20581	836.3668273140538	7218.69352290803	1209.3877914517157	931.465580095131	0
