Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
36864	1463	2000	0.8226182725694444	0.53825	0.0	333.6261789282163
73728	1506	2000	0.8318684895833334	0.562125	0.06308100929614874	339.4144580682119
110592	1502	2000	0.8213975694444444	0.58725	0.0792276964047936	345.4344408671061
147456	1485	2000	0.8194444444444444	0.595375	0.09427609427609428	350.0972905556361
184320	1436	2000	0.8112250434027778	0.620875	0.13509749303621169	354.39433064858116
221184	1536	2000	0.8116319444444444	0.607625	0.11002604166666667	383.0678405801455
258048	1525	2000	0.8428819444444444	0.60725	0.09114754098360656	394.52091403007506
294912	1448	2000	0.8226453993055556	0.633625	0.1132596685082873	404.01448266506196
331776	1453	2000	0.8206922743055556	0.6445	0.1383344803854095	415.23202291329704
368640	1439	2000	0.8238661024305556	0.6305	0.15913829047949965	424.42433319489163
405504	1441	2000	0.8190646701388888	0.66375	0.17834836918806385	447.00487472216287
442368	1439	2000	0.8194986979166666	0.654	0.12439193884642112	454.4589085181554
479232	1452	2000	0.8279893663194444	0.6515	0.14807162534435261	461.6949562430382
516096	1472	2000	0.8211534288194444	0.641625	0.17255434782608695	469.81432527303696
552960	1452	2000	0.8251410590277778	0.656375	0.1825068870523416	475.8861865957578
589824	1385	2000	0.8199598524305556	0.659	0.20505415162454874	481.1810631632805
626688	1459	2000	0.8149956597222222	0.655375	0.1658670322138451	504.32195522785184
663552	1448	2000	0.8343641493055556	0.641375	0.14917127071823205	513.080973080794
700416	1414	2000	0.81396484375	0.67375	0.18104667609618105	521.6493953943252
737280	1441	2000	0.8127983940972222	0.666875	0.183206106870229	528.0390852769216
774144	1436	2000	0.8057725694444444	0.676625	0.2096100278551532	534.5368480920791
811008	1428	2000	0.8158637152777778	0.676625	0.21288515406162464	557.8791462659835
847872	1419	2000	0.8420138888888888	0.71675	0.17124735729386892	563.7636723359426
884736	1455	2000	0.8411187065972222	0.705625	0.1972508591065292	572.0156131505967
921600	1419	2000	0.8253309461805556	0.704375	0.23044397463002114	580.3993160486222
958464	1398	2000	0.8309461805555556	0.714125	0.259656652360515	587.1108034610749
995328	1381	2000	0.8307562934027778	0.71725	0.2889210716871832	593.9861104607583
1032192	1376	2000	0.8340386284722222	0.722875	0.23328488372093023	613.6564315915108
1069056	1432	2000	0.8328721788194444	0.706125	0.21927374301675978	620.1539761781693
1105920	1396	2000	0.8359103732638888	0.73325	0.25644699140401145	626.5242584228515
1142784	1441	2000	0.8310818142361112	0.729375	0.2761970853573907	631.9056871414184
1179648	1406	2000	0.8213704427083334	0.72525	0.29160739687055476	637.6365314563116
1216512	1375	2000	0.8257378472222222	0.724375	0.26181818181818184	656.8673180500666
1253376	1403	2000	0.8295355902777778	0.724125	0.22736992159657876	663.4083503444989
1290240	1400	2000	0.8342556423611112	0.72375	0.26071428571428573	668.4297445694606
1327104	1373	2000	0.8336317274305556	0.72375	0.2672978878368536	674.4050953666369
1363968	1404	2000	0.8454047309027778	0.73425	0.31054131054131057	678.590973885854
1400832	1375	2000	0.8347439236111112	0.731625	0.3389090909090909	695.0577403783798
1437696	1446	2000	0.8316514756944444	0.73275	0.2268326417704011	702.097085126241
1474560	1455	2000	0.8426378038194444	0.731125	0.2501718213058419	709.6604424873988
1511424	1413	2000	0.8177625868055556	0.735375	0.27388535031847133	717.6747590184211
1548288	1413	2000	0.828857421875	0.736	0.3064401981599434	724.1673265735309
1585152	1404	2000	0.8371039496527778	0.73425	0.32905982905982906	730.1829595685006
