Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[0, 1]	[[839.1949999999999, 911.673187078479], [26.04, 19.9]]	0	0.08000000000000002	0.8	1	9.8	189	189	0.6666666666666666	9.8	0	0	0	0	1
[0]	[[-124.9, 262.28999999999996]]	0	0.9939157503234153	0.9939157503234153	11	551.808481951551	99980	190	0.3333333333333333	6137.08296763253	49171	49472	21278	21405	1
[0, 2, 1]	[[839.1949999999999, 1201.405], [0.8104999999999998, 4.2895], [23.24, 19.9]]	0	0.1	1.0	1	14.0	211	211	1.0	14.0	0	0	0	0	1
[0, 1]	[[-124.9, 659.88], [26.26, 19.9]]	0	0.09597989949748745	0.9597989949748744	1	22.075400385169083	308	308	0.6666666666666666	22.075400385169083	0	0	0	0	1
[1]	[[25.98, 19.9]]	0	0.1	1.0	1	18.304000000000002	326	326	0.3333333333333333	18.304000000000002	0	0	0	0	1
[0, 2, 1]	[[-124.9, -2.388291551246027], [2.6935000000000002, 4.5065], [21.16, 29.44]]	0	0.1	1.0	1	29.333333333333332	883	883	1.0	29.333333333333332	0	0	0	0	1
[0, 2]	[[177.97, 317.1036880682351], [0.9394999999999999, 2.3605]]	0	1.0	1.0	1	578.8208589202011	99963	3090	0.6666666666666666	578.8208589202011	6566	6566	2941	2941	1
[0]	[[-124.9, 313.11]]	0	0.9902987401199361	0.9902987401199361	1	540.9996580692545	99980	3090	0.3333333333333333	548.2928031409001	54000	54529	24077	24305	1
[0, 2]	[[-21.791325409247477, 95.22297962877752], [-0.49000000000000005, 1.7720000000000002]]	0	1.0	1.0	2	547.4219790060486	99980	6407	0.6666666666666666	1092.7948193654713	20737	20737	9582	9582	1
[0, 2]	[[338.84999999999997, 574.2049999999999], [2.563, 3.837]]	0	1.0	1.0	4	532.9320763978338	99895	12164	0.6666666666666666	2131.7283055913354	2821	2821	1387	1387	1
[0]	[[-21.791325409247477, 95.22297962877752]]	0	1.0	1.0	5	549.2220618948251	99980	14955	0.3333333333333333	2740.2511195149427	20959	20959	10652	10652	1
[0, 1]	[[9.11084497317826, 95.22297962877752], [18.14, 26.060000000000002]]	0	1.0	1.0	1	550.7777821042667	99980	17561	0.6666666666666666	552.6284854256189	12182	12182	6384	6384	1
[0]	[[-124.9, 168.615]]	0	1.0	1.0	4	549.7657901870689	99980	18192	0.3333333333333333	2200.4975309306164	29503	29503	15594	15594	1
[0]	[[-8.039999999999964, 269.8]]	0	0.9935747519755791	0.9935747519755791	1	551.8084816932087	99980	19503	0.3333333333333333	557.9166324356411	40360	40621	21674	21813	1
[0]	[[-116.125, 95.22297962877752]]	0	1.0	1.0	3	549.2220618948251	99980	21316	0.3333333333333333	1644.1506717089658	19403	19403	10652	10652	1
[0]	[[-124.9, 156.36230441354795]]	0	1.0	1.0	2	549.6443664494227	99980	26491	0.3333333333333333	1099.3223758653464	25223	25223	14808	14808	1
[0]	[[-124.9, 166.225]]	0	1.0	1.0	4	549.7657901870696	99980	30312	0.3333333333333333	2200.497530930629	24949	24949	15446	15446	1
