R_0 R_1 R_2 Class
25.0000 20.1000 0.4000 0
26.8000 20.0800 0.3600 0
28.6000 20.0600 0.3200 0
30.4000 20.0400 0.2800 0
32.2000 20.0200 0.2400 0
34.0000 20.0000 0.2000 0
35.8000 19.9800 0.1600 0
37.6000 19.9600 0.1200 0
39.4000 19.9400 0.0800 0
41.2000 19.9200 0.0400 0
43.0000 19.9000 0.0000 0
45.7000 19.9200 0.0000 0
48.4000 19.9400 0.0000 0
51.1000 19.9600 0.0000 0
53.8000 19.9800 0.0000 0
56.5000 20.0000 0.0000 0
59.2000 20.0200 0.0000 0
61.9000 20.0400 0.0000 0
64.6000 20.0600 0.0000 0
67.3000 20.0800 0.0000 0
70.0000 20.1000 0.0000 0
75.2000 20.1200 0.0000 0
80.4000 20.1400 0.0000 0
85.6000 20.1600 0.0000 0
90.8000 20.1800 0.0000 0
96.0000 20.2000 0.0000 0
101.2000 20.2200 0.0000 0
106.4000 20.2400 0.0000 0
111.6000 20.2600 0.0000 0
116.8000 20.2800 0.0000 0
122.0000 20.3000 0.0000 0
127.9000 20.3300 0.0000 0
133.8000 20.3600 0.0000 0
139.7000 20.3900 0.0000 0
145.6000 20.4200 0.0000 0
151.5000 20.4500 0.0000 0
157.4000 20.4800 0.0000 0
163.3000 20.5100 0.0000 0
169.2000 20.5400 0.0000 0
175.1000 20.5700 0.0000 0
181.0000 20.6000 0.0000 0
187.0000 20.6800 0.0000 0
193.0000 20.7600 0.0000 0
199.0000 20.8400 0.0000 0
205.0000 20.9200 0.0000 0
211.0000 21.0000 0.0000 0
217.0000 21.0800 0.0000 0
223.0000 21.1600 0.0000 0
229.0000 21.2400 0.0000 0
235.0000 21.3200 0.0000 0
241.0000 21.4000 0.0000 0
245.4000 21.4600 0.0400 1
249.8000 21.5200 0.0800 0
254.2000 21.5800 0.1200 0
258.6000 21.6400 0.1600 0
263.0000 21.7000 0.2000 0
267.4000 21.7600 0.2400 0
271.8000 21.8200 0.2800 0
276.2000 21.8800 0.3200 0
280.6000 21.9400 0.3600 0
285.0000 22.0000 0.4000 0
287.3000 22.0600 0.4000 0
289.6000 22.1200 0.4000 0
291.9000 22.1800 0.4000 0
294.2000 22.2400 0.4000 0
296.5000 22.3000 0.4000 0
298.8000 22.3600 0.4000 0
301.1000 22.4200 0.4000 1
