R_0 R_1 R_2 Class
745.0000 27.1000 0.9000 1
995.0000 29.1000 2.7000 1
269.0000 24.7000 0.0000 1
851.0000 25.4000 2.7000 1
484.0000 25.2000 0.0000 1
817.0000 25.7000 0.4000 1
801.0000 28.0000 3.1000 1
877.0000 27.4000 1.3000 1
570.0000 23.2000 0.0000 1
681.0000 24.3000 0.0000 1
721.0000 25.3000 1.8000 1
472.0000 28.1000 0.0000 1
629.0000 25.2000 0.4000 1
804.0000 28.3000 2.7000 1
570.0000 27.9000 0.0000 1
444.0000 22.7000 0.0000 1
535.0000 27.4000 0.4000 1
333.0000 22.4000 0.0000 1
1017.0000 26.8000 1.3000 1
320.0000 23.3000 0.0000 1
754.0000 27.3000 2.7000 1
860.0000 27.0000 0.4000 1
584.0000 28.0000 0.9000 1
889.0000 26.7000 0.9000 1
774.0000 27.4000 1.3000 1
760.0000 26.2000 1.3000 1
558.0000 22.0000 0.4000 1
431.0000 27.2000 0.4000 1
695.0000 25.2000 0.9000 1
764.0000 27.8000 0.9000 1
832.0000 22.4000 0.9000 1
360.0000 25.0000 0.0000 1
605.0000 23.9000 0.0000 1
1110.0000 27.4000 1.3000 1
647.0000 28.3000 0.4000 1
819.0000 26.4000 2.2000 1
963.0000 27.4000 1.3000 1
692.0000 25.8000 1.3000 1
847.0000 27.2000 0.0000 1
863.0000 29.7000 1.3000 1
367.0000 23.1000 0.0000 1
940.0000 27.1000 0.4000 1
878.0000 30.6000 4.0000 1
877.0000 24.9000 2.2000 1
683.0000 27.8000 0.9000 1
837.0000 22.9000 0.9000 1
587.0000 24.2000 0.9000 1
533.0000 24.2000 0.0000 1
718.0000 26.3000 0.0000 1
888.0000 26.0000 0.4000 1
695.0000 24.9000 1.3000 1
615.0000 25.3000 0.4000 1
431.0000 24.4000 0.0000 1
901.0000 28.6000 2.2000 1
566.0000 25.6000 0.9000 1
744.0000 28.0000 0.0000 1
732.0000 29.5000 0.9000 1
972.0000 26.4000 1.8000 1
847.0000 28.9000 0.0000 1
592.0000 25.4000 0.0000 1
673.0000 23.9000 0.9000 1
648.0000 25.1000 0.0000 1
458.0000 23.4000 0.0000 1
335.0000 25.4000 0.0000 1
614.0000 27.1000 2.2000 1
764.0000 24.6000 0.0000 1
595.0000 22.2000 0.0000 1
710.0000 26.9000 0.9000 1
798.0000 25.3000 1.3000 1
655.0000 24.2000 0.9000 1
545.0000 22.9000 0.4000 1
1010.0000 25.4000 0.0000 1
386.0000 26.1000 0.9000 1
471.0000 24.4000 0.0000 1
