Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[0, 1, 2]	[[493.40999999999997, 1247.49], [20.232, 19.68], [-0.58, 1.769]]	1	0.05714285714285714	0.5714285714285714	1	4.024	45	45	1.0	4.024	0	0	0	0	1
[1]	[[24.696, 19.68]]	1	0.0625	0.625	1	4.376941940736001	63	63	0.3333333333333333	4.376941940736001	0	0	0	0	1
[0]	[[-122.2, 352.4]]	0	0.9618228459333031	0.9618228459333031	12	478.16345963337744	99992	146	0.3333333333333333	5737.961515600529	31870	33135	1310	1362	1
[0, 1, 2]	[[480.08000000000004, 122.2], [26.851999999999997, 30.948], [-0.4109999999999998, 3.011]]	1	0.07500000000000001	0.75	1	14.691830621376429	154	154	1.0	14.691830621376429	0	0	0	0	1
[1]	[[24.32, 19.68]]	0	0.06521739130434782	0.6521739130434783	1	45.17242198739685	455	455	0.3333333333333333	45.17242198739685	0	0	0	0	1
[0, 1, 2]	[[642.25, 1003.5423077155242], [23.416, 19.68], [-0.58, 2.524]]	1	0.1	1.0	1	51.940608000000005	483	483	1.0	51.940608000000005	0	0	0	0	1
[0]	[[651.63, 122.2]]	0	0.05253896430367018	0.5253896430367018	1	38.076347642750804	490	490	0.3333333333333333	38.076347642750804	0	0	0	0	1
[0]	[[603.63, 122.2]]	1	0.0892857142857143	0.8928571428571429	1	62.206834877298874	598	598	0.3333333333333333	62.206834877298874	0	0	0	0	1
[0]	[[-122.2, 152.75]]	0	1.0	1.0	2	463.510535273955	99974	5771	0.3333333333333333	927.02107054791	15772	15772	687	687	1
[0]	[[-122.2, 169.75]]	0	1.0	1.0	3	463.8668913480345	99974	6969	0.3333333333333333	1391.6006740441035	16949	16949	747	747	1
[0]	[[-4.289590115473345, 48.25999999999999]]	0	1.0	1.0	3	450.627930425774	99974	7690	0.3333333333333333	1351.883791277322	7335	7335	326	326	1
[0]	[[-4.850000000000023, 422.85]]	0	0.9277035760448082	0.9277035760448082	11	464.3589483424331	99992	10147	0.3333333333333333	5249.185539708455	32298	34815	1475	1590	1
[0]	[[169.75, 352.04191370904726]]	0	0.9152450791200308	0.9152450791200308	6	492.1115517468409	99992	13585	0.3333333333333333	2952.6693104810456	11857	12955	563	615	1
[0]	[[136.81, 387.96]]	0	0.9115893475668616	0.9115893475668616	3	474.044799431908	99992	13662	0.3333333333333333	1467.917997869655	16054	17611	763	837	1
[1]	[[19.0, 22.200000000000003]]	0	0.9207694069155027	0.9207694069155027	10	452.9068579449752	99974	14023	0.3333333333333333	4529.068579449751	8042	8734	384	417	1
[1]	[[18.572, 22.028000000000002]]	0	0.9412098030882561	0.9412098030882561	4	452.8984074193462	99974	22666	0.3333333333333333	1811.5936296773848	6644	7059	353	375	1
[0]	[[-13.730000000000018, 444.45029079225367]]	0	0.9058549355127059	0.9058549355127059	2	464.3589372955397	99992	23211	0.3333333333333333	954.3973432388493	28375	31324	1516	1674	1
[0]	[[87.84240128132747, 169.75]]	0	1.0	1.0	1	492.7604963837345	99960	25591	0.3333333333333333	492.7604963837345	5042	5042	278	278	1
[0]	[[-53.296829363039734, 152.75]]	0	1.0	1.0	2	463.510535273955	99974	31400	0.3333333333333333	927.02107054791	11495	11495	687	687	1
