Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[0, 1, 2]	[[532.2860000000001, 1257.641], [23.691200000000002, 19.236], [0.23829999999999996, 3.3617]]	1	0.09166666666666667	0.9166666666666666	1	12.71455488	128	128	1.0	12.71455488	0	0	0	0	1
[1]	[[23.980600000000003, 28.7194]]	0	0.45369435948392306	0.45369435948392306	1	1534.0716597829771	99979	161	0.3333333333333333	1550.8443356080138	29222	64409	2950	6502	1
[0, 1, 2]	[[532.2860000000001, 1257.641], [23.691200000000002, 19.236], [-0.679, 2.5654000000000003]]	1	0.0803921568627451	0.803921568627451	1	17.97106750752568	180	180	1.0	17.97106750752568	0	0	0	0	1
[0]	[[841.7249999999999, 1166.875]]	1	0.8136944204359935	0.8136944204359935	2	1516.8664949310341	99989	223	0.3333333333333333	2990.7077966594816	8473	10413	857	1053	1
[2, 1]	[[-0.29037967236389806, 4.60909776867045], [24.4294, 19.236]]	1	0.08979591836734695	0.8979591836734694	1	43.87294334969093	390	390	0.6666666666666666	43.87294334969093	0	0	0	0	1
[0, 2, 1]	[[-130.06, 326.111], [-0.679, -0.02747033841169544], [23.325000000000003, 26.915]]	0	0.1	1.0	1	42.62024083166786	399	399	1.0	42.62024083166786	0	0	0	0	1
[0, 1, 2]	[[-130.06, -31.305814077078935], [18.5986, 21.366799999999998], [-0.679, 1.39195]]	0	0.09864864864864865	0.9864864864864865	1	30.416	411	411	1.0	30.416	0	0	0	0	1
[0]	[[605.075, 130.06]]	1	0.08235294117647059	0.8235294117647058	1	46.09652806129629	530	530	0.3333333333333333	46.09652806129629	0	0	0	0	1
[0]	[[618.081, 130.06]]	1	0.07500000000000001	0.75	1	50.66154440768156	530	530	0.3333333333333333	50.66154440768156	0	0	0	0	1
[1]	[[22.267200000000003, 28.872799999999998]]	1	0.5302088528299133	0.5302088528299133	3	1529.5241059596024	99989	647	0.3333333333333333	4628.85907248042	43589	82211	4421	8340	1
[1]	[[23.4562, 31.2464]]	0	0.44691811851199875	0.44691811851199875	1	1533.9595578373742	99979	718	0.3333333333333333	1550.009111027229	34528	77258	3506	7843	1
[1]	[[24.8712, 19.236]]	0	0.0842857142857143	0.8428571428571429	1	85.31191075190932	842	842	0.3333333333333333	85.31191075190932	0	0	0	0	1
[0]	[[-130.06, 491.477]]	0	0.7507831123544593	0.7507831123544593	1	1478.5903513052108	99987	901	0.3333333333333333	1471.3405298929897	38109	50759	3877	5164	1
[0, 2]	[[314.802, 130.06], [-0.679, 1.7035500000000001]]	1	0.07042253521126761	0.704225352112676	1	133.67994158815566	1111	1111	0.6666666666666666	133.67994158815566	0	0	0	0	1
[1]	[[25.0896, 29.110400000000002]]	1	0.563177442583188	0.563177442583188	7	1534.4237638906754	99970	1206	0.3333333333333333	10810.619207589194	29720	52772	3032	5385	1
[0]	[[227.61399999999998, 1033.9859999999999]]	1	0.651596291071453	0.651596291071453	1	1527.3502042407592	99989	1287	0.3333333333333333	1546.164759283954	47575	73013	4858	7456	1
[0]	[[193.49300000000005, 1090.9070000000002]]	1	0.6326265966413798	0.6326265966413798	4	1526.2716141669773	99989	1629	0.3333333333333333	6152.514548032799	48785	77115	4999	7901	1
[2, 1, 0]	[[-0.679, -0.5923444221057468], [18.2434, 23.556599999999996], [-130.06, 195.08999999999997]]	0	0.0911764705882353	0.9117647058823529	1	165.8497270151976	1887	1887	1.0	165.8497270151976	0	0	0	0	1
[0, 1]	[[-130.06, 162.575], [16.364, 23.912599999999998]]	0	1.0	1.0	3	1410.0028385084395	99987	2128	0.6666666666666666	4230.008515525318	10652	10652	1097	1097	1
[1]	[[24.1896, 28.2104]]	0	0.4564289413992034	0.4564289413992034	2	1534.143746992107	99979	2165	0.3333333333333333	3102.7628543392907	25555	55989	2635	5770	1
[0, 1]	[[-130.06, 162.575], [18.3678, 22.5322]]	0	1.0	1.0	3	1405.7916960462276	99987	2193	0.6666666666666666	4217.375088138682	7192	7192	740	740	1
[0, 2]	[[-130.06, 162.575], [-0.679, 1.86725]]	0	1.0	1.0	1	1494.527235559819	99944	2375	0.6666666666666666	1479.4090444497738	16669	16669	1722	1722	1
[1]	[[25.577600000000004, 19.236]]	1	0.08461538461538462	0.8461538461538461	1	276.0116058965953	2518	2518	0.3333333333333333	276.0116058965953	0	0	0	0	1
[0, 1]	[[-130.06, 162.575], [18.8408, 25.1592]]	0	1.0	1.0	1	1432.860455877892	99987	2597	0.6666666666666666	1432.860455877892	13379	13379	1385	1385	1
[0, 1]	[[-130.06, 162.575], [18.2414, 22.1186]]	0	1.0	1.0	4	1395.0567582281979	99987	3215	0.6666666666666666	5580.227032912791	6058	6058	632	632	1
[1]	[[18.6498, 24.2502]]	0	0.627970986335082	0.627970986335082	1	1442.6932003030674	99987	3513	0.3333333333333333	1450.1165003788342	19393	30882	2028	3227	1
[2]	[[-0.679, 1.32405]]	0	0.4859857482185273	0.4859857482185273	4	1520.1870432080354	99979	3522	0.3333333333333333	6124.1411622319865	33759	69465	3528	7259	1
[0, 1]	[[-130.06, 162.575], [19.505000000000003, 23.095]]	0	1.0	1.0	2	1406.7944607670297	99987	3585	0.6666666666666666	2813.5889215340594	7893	7893	827	827	1
[0, 1]	[[-130.06, 162.575], [17.633200000000002, 23.095]]	0	1.0	1.0	2	1406.063919550915	99987	3621	0.6666666666666666	2812.12783910183	8264	8264	866	866	1
[2]	[[1.4099000000000002, 3.9901]]	0	0.5369434416365825	0.5369434416365825	1	1513.3734334791839	99987	3765	0.3333333333333333	1490.3179528300393	13386	24930	1403	2610	1
[0]	[[-130.06, 211.084]]	0	0.9757502137040537	0.9757502137040537	6	1472.638830030232	99987	3907	0.3333333333333333	8712.29122522674	21688	22227	2278	2334	1
[0]	[[-130.06, 162.575]]	0	1.0	1.0	11	1477.2234878581648	99987	4066	0.3333333333333333	16035.572958049766	18044	18044	1899	1899	1
[2]	[[-0.679, 1.05245]]	1	0.5099418323638727	0.5099418323638727	2	1509.6768397874373	99956	4130	0.3333333333333333	3027.5432115932454	30596	59999	3216	6310	1
[2]	[[-0.679, 1.358]]	0	0.4856063977946561	0.4856063977946561	2	1520.430518602739	99979	4369	0.3333333333333333	3063.92815096084	33822	69649	3565	7343	1
[0, 2]	[[771.768, 1155.69], [0.6141000000000001, 3.4659]]	1	0.8355398404736453	0.8355398404736453	6	1527.16108135722	99989	4560	0.6666666666666666	9162.96648814332	10161	12161	1072	1283	1
[1]	[[22.68, 29.86]]	1	0.5414005560147269	0.5414005560147269	1	1533.5407631086312	99989	4644	0.3333333333333333	1546.8888471471591	43233	79854	4570	8437	1
[0]	[[319.4260000000001, 1073.774]]	1	0.6959717495166419	0.6959717495166419	2	1534.0727084688149	99989	4735	0.3333333333333333	3119.202110157191	43556	62583	4608	6619	1
[2]	[[2.1741, 5.3217]]	0	0.5886868686868687	0.5886868686868687	1	1513.4185029224134	99987	4810	0.3333333333333333	1496.153910816271	7285	12375	770	1308	1
[0]	[[716.2189999999999, 949.9929999999999]]	1	0.819571562855588	0.819571562855588	4	1560.3552414824264	99989	5019	0.3333333333333333	6252.212824081456	16566	20213	1757	2144	1
[0]	[[351.22600000000006, 1105.5739999999998]]	1	0.7100792179335917	0.7100792179335917	1	1532.0283809436335	99989	5296	0.3333333333333333	1547.4159134842955	42129	59330	4483	6311	1
[0, 1]	[[-47.47800000000001, 162.575], [16.364, 24.137004681773575]]	0	1.0	1.0	1	1424.5968187813185	99987	5441	0.6666666666666666	1424.5968187813185	10756	10756	1149	1149	1
[2]	[[-0.679, 0.84875]]	1	0.5021321119753622	0.5021321119753622	3	1509.1633360657845	99956	5518	0.3333333333333333	4536.6135504069625	25435	50654	2715	5408	1
[1]	[[18.3462, 24.2338]]	0	0.6304195219789404	0.6304195219789404	1	1442.6932003029094	99987	5642	0.3333333333333333	1450.1165003786368	18859	29915	2019	3198	1
