R_0 R_1 R_2 R_3 Class
0.2500 430.0000 22.4000 0.0000 0
0.2569 231.0000 23.0000 0.0000 0
0.2639 156.0000 23.2000 0.0000 0
0.2708 517.0000 23.4000 0.0000 0
0.2778 552.0000 23.9000 0.0000 0
0.2847 534.0000 24.7000 0.0000 0
0.2917 564.0000 25.1000 0.0000 0
0.2986 638.0000 25.3000 0.0000 0
0.3056 666.0000 25.7000 0.0000 1
0.3125 685.0000 26.2000 0.0000 0
0.3194 708.0000 26.6000 0.0000 0
0.3264 742.0000 26.9000 0.0000 0
0.3333 775.0000 27.3000 0.0000 0
0.3403 807.0000 27.2000 0.4000 1
0.3472 404.0000 27.4000 0.4000 0
0.3542 370.0000 27.3000 0.0000 0
0.3611 959.0000 27.5000 0.0000 0
0.3681 875.0000 28.2000 0.0000 0
0.3750 352.0000 28.3000 0.0000 0
0.3819 630.0000 28.0000 0.0000 1
0.3889 419.0000 28.6000 0.0000 0
0.3958 351.0000 28.6000 0.0000 0
0.4028 423.0000 28.6000 0.4000 0
0.4097 359.0000 28.3000 0.0000 0
0.4167 775.0000 28.4000 0.4000 0
0.4236 595.0000 29.1000 0.9000 0
0.4306 819.0000 29.3000 1.8000 1
0.4375 668.0000 29.5000 1.8000 0
0.4444 496.0000 29.1000 2.2000 0
0.4514 686.0000 29.4000 1.8000 0
0.4583 690.0000 29.3000 2.7000 0
0.4653 461.0000 29.1000 1.8000 0
0.4722 465.0000 28.6000 1.8000 0
0.4792 426.0000 28.4000 0.9000 0
0.4861 468.0000 28.3000 2.2000 0
0.4931 363.0000 28.1000 0.9000 0
0.5000 649.0000 28.0000 0.4000 1
0.5069 756.0000 28.9000 0.4000 0
0.5139 369.0000 28.8000 0.4000 0
0.5208 592.0000 28.7000 0.4000 0
0.5278 417.0000 29.0000 1.3000 0
0.5347 818.0000 28.8000 1.8000 0
0.5417 656.0000 28.9000 1.8000 0
0.5486 314.0000 28.7000 0.9000 0
0.5556 521.0000 28.3000 1.8000 0
0.5625 792.0000 28.7000 2.7000 1
0.5694 463.0000 28.7000 1.3000 0
0.5764 730.0000 28.5000 0.9000 0
0.5833 201.0000 28.8000 1.3000 0
0.5903 487.0000 27.9000 1.3000 0
0.5972 236.0000 28.0000 0.9000 0
0.6042 223.0000 27.6000 0.9000 0
0.6111 229.0000 27.4000 1.3000 0
0.6181 269.0000 27.3000 1.3000 0
0.6250 298.0000 27.6000 1.3000 0
0.6319 68.0000 27.2000 1.8000 0
0.6389 292.0000 26.8000 2.2000 0
0.6458 264.0000 26.9000 2.2000 0
0.6528 237.0000 26.8000 1.8000 0
0.6597 140.0000 26.7000 0.9000 0
0.6667 91.0000 26.5000 1.3000 0
0.6736 57.0000 26.3000 1.3000 0
0.6806 52.0000 25.9000 0.9000 0
0.6875 22.0000 25.4000 1.3000 0
0.6944 14.0000 25.2000 0.4000 0
0.7014 5.0000 25.0000 0.0000 0
0.7083 0.0000 24.8000 0.4000 0
0.7153 0.0000 24.7000 0.4000 0
0.7222 0.0000 24.6000 0.0000 0
0.7292 0.0000 24.6000 0.0000 0
0.7361 0.0000 24.5000 0.0000 0
0.7431 0.0000 24.5000 0.0000 0
