R_0 R_1 R_2 R_3 Class
0.2500 480.0000 21.1000 0.0000 0
0.2569 407.0000 21.6000 0.0000 0
0.2639 340.0000 22.0000 0.0000 0
0.2708 823.0000 22.5000 0.0000 0
0.2778 781.0000 23.7000 0.0000 0
0.2847 370.0000 24.4000 0.0000 0
0.2917 563.0000 24.1000 0.0000 1
0.2986 523.0000 24.1000 0.0000 0
0.3056 293.0000 24.0000 0.0000 0
0.3125 668.0000 24.3000 0.0000 0
0.3194 265.0000 24.8000 0.0000 0
0.3264 241.0000 24.6000 0.0000 0
0.3333 340.0000 24.6000 0.0000 0
0.3403 418.0000 24.7000 0.0000 0
0.3472 573.0000 25.0000 0.0000 1
0.3542 481.0000 25.4000 0.0000 0
0.3611 381.0000 25.6000 0.0000 0
0.3681 354.0000 25.5000 0.0000 0
0.3750 351.0000 25.5000 0.0000 0
0.3819 470.0000 25.7000 0.0000 0
0.3889 458.0000 26.1000 0.0000 0
0.3958 324.0000 26.3000 0.9000 0
0.4028 205.0000 26.1000 0.4000 0
0.4097 136.0000 25.7000 0.9000 0
0.4167 169.0000 24.8000 0.4000 0
0.4236 168.0000 24.1000 0.4000 0
0.4306 114.0000 23.8000 0.9000 0
0.4375 90.0000 23.4000 1.3000 0
0.4444 137.0000 23.1000 1.3000 0
0.4514 227.0000 22.8000 0.4000 0
0.4583 242.0000 22.7000 0.0000 0
0.4653 192.0000 22.6000 0.0000 0
0.4722 151.0000 22.5000 0.0000 0
0.4792 150.0000 22.4000 0.4000 0
0.4861 153.0000 22.3000 0.9000 0
0.4931 241.0000 22.3000 0.0000 0
0.5000 353.0000 22.5000 0.4000 0
0.5069 246.0000 22.8000 0.0000 0
0.5139 268.0000 22.9000 0.0000 0
0.5208 295.0000 23.0000 0.4000 0
0.5278 154.0000 23.0000 0.9000 0
0.5347 98.0000 22.9000 0.4000 0
0.5417 319.0000 23.0000 0.0000 0
0.5486 89.0000 23.2000 0.4000 0
0.5556 81.0000 23.1000 0.9000 0
0.5625 115.0000 23.0000 0.4000 0
0.5694 87.0000 23.1000 0.0000 0
0.5764 62.0000 23.0000 0.4000 0
0.5833 89.0000 22.9000 0.4000 0
0.5903 100.0000 23.0000 0.0000 0
0.5972 106.0000 23.1000 0.0000 0
0.6042 75.0000 23.0000 0.0000 0
0.6111 87.0000 22.9000 0.0000 0
0.6181 70.0000 22.8000 0.0000 0
0.6250 24.0000 22.8000 0.4000 0
0.6319 1.0000 22.6000 0.4000 0
0.6389 0.0000 22.5000 0.0000 0
0.6458 0.0000 22.4000 0.0000 0
0.6528 0.0000 22.3000 0.0000 0
0.6597 0.0000 22.1000 0.0000 0
0.6667 0.0000 21.9000 0.0000 0
0.6736 0.0000 21.8000 0.0000 0
0.6806 0.0000 21.7000 0.0000 0
0.6875 0.0000 21.7000 0.0000 0
0.6944 0.0000 21.7000 0.0000 0
0.7014 0.0000 21.7000 0.0000 0
0.7083 0.0000 21.7000 0.0000 0
0.7153 0.0000 21.7000 0.0000 0
0.7222 0.0000 21.6000 0.0000 0
0.7292 0.0000 21.6000 0.0000 0
0.7361 0.0000 21.5000 0.0000 0
0.7431 0.0000 21.5000 0.0000 0
