R_0 R_1 R_2 R_3 Class
0.2500 0.0000 21.4000 0.0000 0
0.2569 0.0000 21.6000 0.0000 0
0.2639 0.0000 21.5000 0.0000 0
0.2708 0.0000 21.3000 0.0000 0
0.2778 0.0000 21.1000 0.0000 0
0.2847 0.0000 20.8000 0.0000 0
0.2917 0.0000 20.7000 0.0000 0
0.2986 3.0000 20.6000 0.0000 0
0.3056 8.0000 20.5000 0.0000 0
0.3125 7.0000 20.4000 0.0000 0
0.3194 12.0000 20.4000 0.0000 0
0.3264 15.0000 20.4000 0.0000 0
0.3333 11.0000 20.4000 0.0000 0
0.3403 39.0000 20.4000 0.0000 0
0.3472 40.0000 20.4000 0.0000 0
0.3542 29.0000 20.3000 0.0000 0
0.3611 37.0000 20.3000 0.0000 0
0.3681 75.0000 20.4000 0.0000 0
0.3750 88.0000 20.4000 0.0000 0
0.3819 95.0000 20.4000 0.0000 0
0.3889 154.0000 20.5000 0.0000 0
0.3958 193.0000 20.8000 0.0000 0
0.4028 204.0000 20.8000 0.0000 0
0.4097 233.0000 20.9000 0.0000 0
0.4167 267.0000 21.0000 0.0000 0
0.4236 188.0000 21.2000 0.0000 0
0.4306 260.0000 21.2000 0.0000 0
0.4375 359.0000 21.4000 0.0000 0
0.4444 412.0000 21.9000 0.0000 1
0.4514 380.0000 22.7000 0.0000 0
0.4583 421.0000 23.3000 0.0000 0
0.4653 444.0000 23.6000 0.0000 0
0.4722 776.0000 23.7000 0.0000 0
0.4792 845.0000 24.3000 0.0000 0
0.4861 669.0000 25.0000 0.0000 1
0.4931 496.0000 25.6000 0.0000 0
0.5000 564.0000 26.0000 0.0000 0
0.5069 490.0000 26.1000 0.0000 0
0.5139 509.0000 26.4000 0.0000 0
0.5208 509.0000 26.8000 0.0000 0
0.5278 648.0000 26.9000 0.0000 0
0.5347 811.0000 27.0000 0.9000 1
0.5417 1113.0000 27.2000 0.9000 0
0.5486 512.0000 27.5000 0.9000 0
0.5556 571.0000 26.7000 0.9000 0
0.5625 474.0000 26.2000 0.4000 1
0.5694 659.0000 26.4000 0.9000 0
0.5764 716.0000 26.6000 1.8000 0
0.5833 533.0000 26.8000 0.9000 0
0.5903 595.0000 26.8000 0.9000 0
0.5972 729.0000 26.8000 1.3000 1
0.6042 493.0000 26.8000 1.8000 0
0.6111 485.0000 26.3000 1.8000 0
0.6181 481.0000 25.8000 1.8000 0
0.6250 208.0000 25.8000 0.9000 0
0.6319 167.0000 25.6000 1.3000 0
0.6389 337.0000 25.2000 0.4000 0
0.6458 545.0000 25.2000 1.8000 0
0.6528 532.0000 25.5000 1.3000 0
0.6597 322.0000 25.6000 0.9000 0
0.6667 288.0000 25.2000 1.3000 0
0.6736 174.0000 24.8000 0.9000 0
0.6806 197.0000 24.8000 0.4000 0
0.6875 118.0000 24.8000 0.0000 0
0.6944 147.0000 24.7000 0.0000 0
0.7014 184.0000 24.7000 0.0000 0
0.7083 138.0000 24.8000 0.0000 0
0.7153 87.0000 24.9000 0.0000 0
0.7222 50.0000 24.9000 0.0000 0
0.7292 37.0000 24.5000 0.0000 0
0.7361 29.0000 24.2000 0.0000 0
0.7431 16.0000 23.9000 0.0000 0
