R_0 R_1 R_2 R_3 Class
0.2500 0.0000 21.1000 0.0000 0
0.2569 0.0000 20.8000 0.0000 0
0.2639 5.0000 20.6000 0.0000 0
0.2708 16.0000 20.4000 0.0000 0
0.2778 27.0000 20.2000 0.0000 0
0.2847 55.0000 20.1000 0.0000 0
0.2917 112.0000 20.4000 0.0000 0
0.2986 105.0000 20.9000 0.0000 0
0.3056 104.0000 21.1000 0.0000 0
0.3125 236.0000 20.9000 0.0000 0
0.3194 274.0000 20.7000 0.0000 0
0.3264 316.0000 20.9000 0.0000 0
0.3333 327.0000 21.3000 0.0000 0
0.3403 348.0000 21.4000 0.0000 0
0.3472 410.0000 21.8000 0.0000 0
0.3542 442.0000 22.1000 0.4000 1
0.3611 481.0000 22.4000 0.4000 0
0.3681 551.0000 22.7000 0.4000 0
0.3750 478.0000 23.2000 0.9000 0
0.3819 254.0000 23.1000 1.3000 0
0.3889 260.0000 22.8000 0.9000 0
0.3958 291.0000 22.8000 0.9000 0
0.4028 307.0000 22.9000 1.3000 0
0.4097 293.0000 22.9000 0.4000 0
0.4167 298.0000 23.1000 0.0000 0
0.4236 592.0000 23.4000 0.4000 0
0.4306 324.0000 24.7000 0.4000 0
0.4375 375.0000 24.1000 0.4000 0
0.4444 731.0000 23.7000 0.4000 1
0.4514 721.0000 23.7000 0.9000 0
0.4583 453.0000 23.8000 0.9000 0
0.4653 268.0000 23.9000 0.9000 0
0.4722 244.0000 24.1000 0.9000 0
0.4792 282.0000 24.2000 1.3000 0
0.4861 280.0000 24.3000 0.9000 0
0.4931 423.0000 24.8000 0.9000 0
0.5000 362.0000 24.8000 0.4000 0
0.5069 727.0000 24.7000 0.4000 0
0.5139 798.0000 25.3000 1.3000 1
0.5208 866.0000 25.1000 1.3000 1
0.5278 794.0000 25.3000 2.2000 0
0.5347 982.0000 25.6000 0.9000 0
0.5417 297.0000 25.8000 1.3000 0
0.5486 709.0000 25.9000 0.4000 0
0.5556 674.0000 26.3000 0.9000 1
0.5625 949.0000 26.6000 1.8000 0
0.5694 425.0000 26.6000 1.3000 0
0.5764 350.0000 26.1000 2.7000 0
0.5833 594.0000 26.0000 2.2000 0
0.5903 586.0000 26.2000 2.2000 0
0.5972 763.0000 26.4000 1.3000 0
0.6042 515.0000 26.7000 1.3000 1
0.6111 532.0000 26.6000 0.9000 0
0.6181 553.0000 26.8000 1.3000 0
0.6250 323.0000 26.4000 1.3000 0
0.6319 320.0000 26.1000 1.8000 0
0.6389 585.0000 26.2000 0.9000 0
0.6458 522.0000 26.6000 1.8000 0
0.6528 445.0000 26.4000 2.2000 0
0.6597 292.0000 25.9000 1.8000 0
0.6667 265.0000 25.7000 1.3000 0
0.6736 186.0000 25.6000 0.4000 0
0.6806 165.0000 25.3000 1.3000 0
0.6875 184.0000 25.1000 2.2000 0
0.6944 136.0000 24.9000 1.8000 0
0.7014 77.0000 24.7000 1.8000 0
0.7083 42.0000 24.5000 1.8000 0
0.7153 39.0000 24.3000 0.9000 0
0.7222 26.0000 24.2000 2.7000 0
0.7292 23.0000 23.9000 3.1000 0
0.7361 12.0000 23.7000 2.2000 0
0.7431 9.0000 23.6000 2.7000 0
