R_0 R_1 R_2 R_3 Class
0.2500 0.0000 22.3000 0.0000 0
0.2569 1.0000 22.3000 0.0000 0
0.2639 9.0000 22.2000 0.0000 0
0.2708 18.0000 22.1000 0.0000 0
0.2778 30.0000 21.9000 0.0000 0
0.2847 53.0000 21.9000 0.0000 0
0.2917 108.0000 21.9000 0.0000 0
0.2986 150.0000 22.1000 0.0000 0
0.3056 186.0000 22.6000 0.0000 0
0.3125 220.0000 23.0000 0.0000 0
0.3194 260.0000 23.3000 0.0000 0
0.3264 295.0000 23.5000 0.0000 0
0.3333 340.0000 24.1000 0.0000 0
0.3403 379.0000 24.7000 0.0000 0
0.3472 410.0000 25.6000 0.0000 0
0.3542 442.0000 26.0000 0.0000 0
0.3611 469.0000 26.1000 0.0000 0
0.3681 512.0000 26.0000 0.0000 0
0.3750 554.0000 25.9000 0.0000 1
0.3819 581.0000 26.2000 0.0000 0
0.3889 603.0000 26.4000 0.0000 0
0.3958 647.0000 26.8000 0.0000 0
0.4028 675.0000 26.9000 0.0000 0
0.4097 692.0000 27.6000 0.0000 0
0.4167 730.0000 27.7000 0.0000 1
0.4236 738.0000 28.1000 0.0000 0
0.4306 794.0000 28.6000 0.0000 0
0.4375 759.0000 28.9000 0.4000 0
0.4444 821.0000 28.4000 0.9000 1
0.4514 740.0000 28.7000 0.9000 0
0.4583 258.0000 28.4000 0.9000 0
0.4653 231.0000 27.8000 1.8000 0
0.4722 310.0000 27.9000 2.2000 0
0.4792 411.0000 27.4000 1.8000 0
0.4861 408.0000 27.1000 2.2000 0
0.4931 495.0000 26.9000 2.2000 0
0.5000 604.0000 26.9000 1.3000 0
0.5069 347.0000 26.8000 1.3000 0
0.5139 580.0000 26.4000 1.8000 0
0.5208 409.0000 26.3000 1.8000 0
0.5278 362.0000 26.2000 1.8000 0
0.5347 367.0000 26.0000 1.3000 0
0.5417 369.0000 26.1000 0.9000 0
0.5486 315.0000 26.3000 1.3000 0
0.5556 275.0000 26.0000 2.2000 0
0.5625 341.0000 25.9000 1.3000 0
0.5694 315.0000 26.3000 1.3000 0
0.5764 279.0000 26.4000 1.3000 0
0.5833 268.0000 26.4000 1.3000 0
0.5903 306.0000 26.4000 2.2000 0
0.5972 269.0000 26.4000 1.3000 0
0.6042 281.0000 26.6000 1.3000 0
0.6111 289.0000 26.6000 0.9000 0
0.6181 240.0000 26.7000 1.3000 0
0.6250 520.0000 26.7000 1.8000 0
0.6319 519.0000 27.2000 2.2000 0
0.6389 232.0000 27.1000 1.3000 0
0.6458 431.0000 27.2000 0.9000 0
0.6528 325.0000 27.3000 0.9000 0
0.6597 348.0000 27.3000 1.3000 0
0.6667 320.0000 27.3000 2.2000 0
0.6736 269.0000 27.2000 0.9000 0
0.6806 226.0000 27.3000 1.3000 0
0.6875 184.0000 27.2000 1.3000 0
0.6944 145.0000 27.1000 1.3000 0
0.7014 113.0000 26.9000 1.3000 0
0.7083 83.0000 26.9000 0.4000 0
0.7153 58.0000 26.9000 0.0000 0
0.7222 45.0000 26.9000 0.0000 0
0.7292 35.0000 26.7000 0.0000 0
0.7361 25.0000 26.4000 0.0000 0
0.7431 14.0000 26.1000 0.4000 0
