R_0 R_1 R_2 R_3 Class
0.2500 23.0000 19.7000 1.3000 0
0.2569 24.0000 19.7000 1.3000 0
0.2639 30.0000 19.7000 1.3000 0
0.2708 40.0000 19.7000 0.9000 0
0.2778 71.0000 19.8000 0.4000 0
0.2847 67.0000 19.9000 0.9000 0
0.2917 49.0000 19.9000 0.9000 0
0.2986 105.0000 19.9000 0.4000 0
0.3056 240.0000 20.2000 0.4000 0
0.3125 256.0000 20.3000 0.4000 0
0.3194 142.0000 20.3000 0.9000 0
0.3264 109.0000 20.3000 1.8000 0
0.3333 99.0000 20.3000 1.8000 0
0.3403 116.0000 20.7000 1.3000 0
0.3472 211.0000 20.9000 1.3000 0
0.3542 153.0000 20.9000 0.9000 0
0.3611 210.0000 20.9000 1.8000 0
0.3681 311.0000 21.2000 1.3000 0
0.3750 348.0000 21.6000 0.9000 0
0.3819 333.0000 22.1000 0.4000 0
0.3889 369.0000 22.4000 0.9000 0
0.3958 350.0000 22.6000 1.8000 0
0.4028 306.0000 23.3000 1.3000 0
0.4097 205.0000 23.3000 1.3000 0
0.4167 198.0000 23.1000 1.8000 0
0.4236 277.0000 23.1000 1.3000 0
0.4306 479.0000 23.2000 1.3000 0
0.4375 548.0000 23.4000 1.3000 0
0.4444 388.0000 23.3000 1.3000 0
0.4514 310.0000 23.3000 1.3000 0
0.4583 245.0000 23.4000 1.3000 0
0.4653 271.0000 23.2000 1.3000 0
0.4722 252.0000 23.0000 0.9000 0
0.4792 270.0000 23.2000 1.3000 0
0.4861 282.0000 23.2000 1.3000 0
0.4931 245.0000 23.4000 1.3000 0
0.5000 227.0000 23.4000 0.9000 0
0.5069 243.0000 23.3000 0.9000 0
0.5139 281.0000 23.5000 0.9000 0
0.5208 230.0000 23.6000 0.9000 0
0.5278 216.0000 23.4000 1.8000 0
0.5347 237.0000 23.1000 2.2000 0
0.5417 247.0000 23.0000 1.8000 0
0.5486 216.0000 22.8000 2.2000 0
0.5556 267.0000 22.6000 2.2000 0
0.5625 285.0000 22.6000 1.8000 0
0.5694 272.0000 22.7000 2.2000 0
0.5764 242.0000 22.8000 1.8000 0
0.5833 222.0000 23.0000 1.8000 0
0.5903 266.0000 23.1000 1.8000 0
0.5972 292.0000 23.2000 1.8000 0
0.6042 267.0000 23.3000 1.8000 0
0.6111 222.0000 23.3000 1.8000 0
0.6181 202.0000 23.2000 2.2000 0
0.6250 187.0000 23.1000 1.8000 0
0.6319 141.0000 23.0000 1.8000 0
0.6389 105.0000 22.9000 1.8000 0
0.6458 98.0000 22.7000 1.8000 0
0.6528 82.0000 22.5000 1.8000 0
0.6597 76.0000 22.3000 1.8000 0
0.6667 59.0000 22.1000 1.3000 0
0.6736 40.0000 21.9000 1.3000 0
0.6806 28.0000 21.9000 0.9000 0
0.6875 16.0000 21.8000 0.9000 0
0.6944 7.0000 21.7000 1.3000 0
0.7014 0.0000 21.7000 0.9000 0
0.7083 0.0000 21.6000 0.9000 0
0.7153 0.0000 21.6000 0.9000 0
0.7222 0.0000 21.6000 1.3000 0
0.7292 0.0000 21.5000 0.9000 0
0.7361 0.0000 21.4000 0.9000 0
0.7431 0.0000 21.4000 0.9000 0
