R_0 R_1 R_2 R_3 Class
0.2500 3.0000 20.2000 0.0000 0
0.2569 12.0000 20.2000 0.0000 0
0.2639 21.0000 20.3000 0.0000 0
0.2708 32.0000 20.3000 0.0000 0
0.2778 80.0000 20.4000 0.0000 0
0.2847 133.0000 20.6000 0.0000 0
0.2917 176.0000 21.1000 0.0000 0
0.2986 209.0000 21.6000 0.4000 0
0.3056 250.0000 21.9000 0.0000 0
0.3125 286.0000 22.2000 0.0000 0
0.3194 326.0000 22.7000 0.0000 0
0.3264 365.0000 23.1000 0.0000 0
0.3333 406.0000 23.5000 0.0000 0
0.3403 442.0000 23.9000 0.0000 0
0.3472 480.0000 24.2000 0.0000 0
0.3542 516.0000 24.2000 0.0000 1
0.3611 552.0000 24.7000 0.0000 0
0.3681 576.0000 24.7000 0.0000 0
0.3750 610.0000 24.9000 0.0000 0
0.3819 642.0000 25.4000 0.0000 0
0.3889 675.0000 25.7000 0.0000 0
0.3958 695.0000 25.5000 0.0000 1
0.4028 733.0000 25.9000 0.0000 0
0.4097 771.0000 26.3000 0.0000 0
0.4167 792.0000 26.6000 0.0000 0
0.4236 803.0000 27.3000 0.4000 1
0.4306 689.0000 27.4000 0.0000 0
0.4375 128.0000 27.8000 0.0000 0
0.4444 70.0000 28.0000 0.0000 0
0.4514 72.0000 28.9000 0.0000 0
0.4583 72.0000 29.3000 0.4000 0
0.4653 186.0000 29.4000 0.4000 0
0.4722 929.0000 29.5000 0.9000 0
0.4792 112.0000 29.3000 2.2000 0
0.4861 129.0000 28.7000 2.7000 0
0.4931 280.0000 28.6000 2.2000 0
0.5000 579.0000 28.7000 1.3000 0
0.5069 138.0000 28.8000 0.9000 0
0.5139 172.0000 28.1000 3.6000 0
0.5208 200.0000 28.0000 2.7000 0
0.5278 228.0000 28.3000 1.3000 0
0.5347 152.0000 28.5000 0.9000 0
0.5417 173.0000 28.4000 0.4000 0
0.5486 113.0000 28.0000 2.7000 0
0.5556 167.0000 28.1000 1.8000 0
0.5625 218.0000 28.7000 1.3000 0
0.5694 377.0000 29.3000 0.9000 0
0.5764 228.0000 29.4000 0.9000 0
0.5833 279.0000 29.2000 1.3000 0
0.5903 243.0000 28.8000 0.9000 0
0.5972 243.0000 28.6000 1.8000 0
0.6042 255.0000 28.8000 1.3000 0
0.6111 223.0000 29.0000 0.9000 0
0.6181 226.0000 28.8000 0.4000 0
0.6250 213.0000 28.6000 0.9000 0
0.6319 172.0000 28.5000 1.3000 0
0.6389 125.0000 28.2000 2.2000 0
0.6458 122.0000 27.9000 1.3000 0
0.6528 114.0000 27.9000 1.8000 0
0.6597 103.0000 27.9000 1.3000 0
0.6667 121.0000 27.9000 1.3000 0
0.6736 114.0000 27.9000 0.9000 0
0.6806 96.0000 27.9000 1.8000 0
0.6875 112.0000 27.9000 1.8000 0
0.6944 108.0000 28.0000 1.8000 0
0.7014 96.0000 27.9000 1.8000 0
0.7083 81.0000 27.8000 2.7000 0
0.7153 57.0000 27.6000 1.8000 0
0.7222 40.0000 27.2000 1.3000 0
0.7292 19.0000 26.9000 0.9000 0
0.7361 7.0000 26.7000 0.9000 0
0.7431 3.0000 26.3000 0.4000 0
