R_0 R_1 R_2 R_3 Class
0.2500 0.0000 20.8000 0.0000 0
0.2569 0.0000 20.8000 0.0000 0
0.2639 6.0000 20.9000 0.0000 0
0.2708 8.0000 20.9000 0.0000 0
0.2778 12.0000 21.0000 0.0000 0
0.2847 21.0000 21.1000 0.0000 0
0.2917 23.0000 21.1000 0.0000 0
0.2986 37.0000 21.2000 0.0000 0
0.3056 67.0000 21.3000 0.0000 0
0.3125 84.0000 21.4000 0.0000 0
0.3194 137.0000 21.6000 0.0000 0
0.3264 197.0000 21.8000 0.0000 0
0.3333 320.0000 22.2000 0.0000 0
0.3403 276.0000 22.7000 0.0000 0
0.3472 447.0000 23.3000 0.0000 0
0.3542 327.0000 24.0000 0.0000 0
0.3611 236.0000 23.9000 0.0000 0
0.3681 256.0000 23.8000 0.0000 0
0.3750 259.0000 23.8000 0.0000 0
0.3819 311.0000 23.7000 0.0000 0
0.3889 339.0000 23.9000 0.0000 0
0.3958 340.0000 24.2000 0.0000 1
0.4028 379.0000 24.5000 0.0000 0
0.4097 371.0000 24.7000 0.0000 0
0.4167 524.0000 25.0000 0.0000 0
0.4236 341.0000 25.3000 0.0000 0
0.4306 323.0000 25.3000 0.0000 0
0.4375 330.0000 25.4000 0.0000 0
0.4444 336.0000 25.3000 0.0000 0
0.4514 375.0000 25.5000 0.0000 0
0.4583 607.0000 25.7000 0.0000 1
0.4653 284.0000 26.3000 0.0000 0
0.4722 230.0000 26.6000 0.0000 0
0.4792 224.0000 27.1000 0.0000 0
0.4861 279.0000 27.3000 0.0000 0
0.4931 527.0000 28.0000 2.2000 0
0.5000 598.0000 27.7000 1.8000 0
0.5069 405.0000 27.3000 1.3000 0
0.5139 702.0000 27.2000 1.3000 0
0.5208 593.0000 27.4000 0.9000 0
0.5278 769.0000 27.5000 0.9000 1
0.5347 977.0000 27.8000 1.8000 0
0.5417 938.0000 27.8000 2.2000 1
0.5486 887.0000 28.1000 1.3000 0
0.5556 732.0000 28.1000 1.8000 0
0.5625 721.0000 28.3000 2.2000 0
0.5694 715.0000 27.5000 2.7000 0
0.5764 539.0000 27.0000 1.8000 1
0.5833 582.0000 27.0000 1.3000 0
0.5903 382.0000 26.8000 2.7000 0
0.5972 354.0000 26.5000 0.4000 0
0.6042 583.0000 26.8000 1.8000 0
0.6111 392.0000 26.7000 1.8000 0
0.6181 479.0000 26.6000 0.9000 0
0.6250 504.0000 26.9000 1.3000 0
0.6319 486.0000 26.9000 0.9000 0
0.6389 407.0000 26.7000 1.3000 0
0.6458 291.0000 26.7000 0.9000 0
0.6528 235.0000 26.6000 1.3000 0
0.6597 232.0000 26.2000 0.9000 0
0.6667 196.0000 26.0000 0.9000 0
0.6736 182.0000 25.7000 0.9000 0
0.6806 164.0000 25.4000 0.9000 0
0.6875 140.0000 25.2000 2.7000 0
0.6944 119.0000 25.0000 1.3000 0
0.7014 101.0000 24.8000 0.9000 0
0.7083 83.0000 24.7000 0.9000 0
0.7153 64.0000 24.6000 0.4000 0
0.7222 44.0000 24.5000 0.9000 0
0.7292 28.0000 24.3000 0.4000 0
0.7361 16.0000 24.2000 0.4000 0
0.7431 8.0000 24.1000 0.0000 0
