R_0 R_1 R_2 R_3 Class
0.2500 0.0000 19.5000 0.0000 0
0.2569 0.0000 19.6000 0.0000 0
0.2639 7.0000 19.8000 0.0000 0
0.2708 15.0000 19.9000 0.0000 0
0.2778 21.0000 19.9000 0.0000 0
0.2847 28.0000 19.8000 0.0000 0
0.2917 34.0000 19.9000 0.0000 0
0.2986 49.0000 20.1000 0.0000 0
0.3056 71.0000 20.4000 0.0000 0
0.3125 97.0000 20.4000 0.0000 0
0.3194 123.0000 20.4000 0.0000 0
0.3264 155.0000 20.3000 0.0000 0
0.3333 193.0000 20.5000 0.0000 0
0.3403 253.0000 21.1000 0.0000 0
0.3472 535.0000 21.4000 0.0000 0
0.3542 528.0000 21.9000 0.0000 0
0.3611 536.0000 22.3000 0.0000 0
0.3681 519.0000 22.7000 0.0000 1
0.3750 571.0000 22.7000 0.0000 0
0.3819 622.0000 22.8000 0.0000 0
0.3889 638.0000 23.1000 0.0000 0
0.3958 655.0000 23.2000 0.0000 0
0.4028 680.0000 23.5000 0.0000 1
0.4097 707.0000 23.8000 0.0000 0
0.4167 728.0000 24.2000 0.4000 0
0.4236 743.0000 24.8000 0.0000 0
0.4306 778.0000 25.2000 0.4000 0
0.4375 794.0000 25.2000 0.4000 1
0.4444 800.0000 25.8000 0.0000 0
0.4514 793.0000 27.1000 0.0000 0
0.4583 325.0000 27.5000 0.9000 0
0.4653 174.0000 27.7000 0.4000 0
0.4722 160.0000 28.1000 0.0000 0
0.4792 150.0000 27.3000 0.4000 0
0.4861 172.0000 27.1000 0.4000 0
0.4931 319.0000 26.9000 0.4000 0
0.5000 297.0000 26.4000 0.4000 0
0.5069 443.0000 26.2000 0.9000 0
0.5139 434.0000 26.2000 1.8000 0
0.5208 629.0000 26.1000 1.8000 0
0.5278 425.0000 26.3000 1.3000 0
0.5347 963.0000 26.3000 1.8000 1
0.5417 972.0000 26.6000 2.2000 0
0.5486 502.0000 26.7000 0.9000 0
0.5556 439.0000 26.5000 1.8000 0
0.5625 341.0000 26.3000 1.8000 0
0.5694 340.0000 25.9000 2.2000 0
0.5764 262.0000 25.7000 1.8000 0
0.5833 274.0000 25.4000 3.6000 0
0.5903 302.0000 25.4000 2.7000 0
0.5972 277.0000 25.2000 4.0000 0
0.6042 225.0000 24.9000 4.5000 0
0.6111 182.0000 24.6000 4.0000 0
0.6181 193.0000 24.5000 3.6000 0
0.6250 211.0000 24.4000 2.7000 0
0.6319 323.0000 24.5000 2.2000 0
0.6389 402.0000 24.7000 1.8000 0
0.6458 490.0000 24.9000 2.2000 0
0.6528 437.0000 25.1000 2.2000 0
0.6597 307.0000 25.1000 1.3000 0
0.6667 281.0000 25.2000 1.3000 0
0.6736 301.0000 25.2000 1.3000 0
0.6806 284.0000 26.0000 0.4000 0
0.6875 202.0000 27.6000 0.0000 0
0.6944 175.0000 28.1000 0.4000 0
0.7014 114.0000 27.6000 0.0000 0
0.7083 120.0000 27.2000 0.0000 0
0.7153 88.0000 27.1000 0.4000 0
0.7222 56.0000 27.1000 0.4000 0
0.7292 50.0000 26.9000 0.0000 0
0.7361 32.0000 26.9000 0.4000 0
0.7431 14.0000 26.4000 0.0000 0
