Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[0, 1, 2]	[[532.2860000000001, 1257.641], [23.691200000000002, 19.236], [0.23829999999999996, 3.3617]]	1	0.09166666666666667	0.9166666666666666	1	12.71455488	128	128	1.0	12.71455488	0	0	0	0	1
[0, 1]	[[1085.7647204841574, 1273.3192273532604], [25.5094, 19.236]]	1	0.1	1.0	1	19.5	530	530	0.6666666666666666	19.5	0	0	0	0	1
[0]	[[569.993, 130.06]]	0	0.05416666666666667	0.5416666666666666	1	50.47995963989403	537	537	0.3333333333333333	50.47995963989403	0	0	0	0	1
[1]	[[22.883200000000002, 26.616799999999998]]	1	0.5036260741982813	0.5036260741982813	4	1103.099846496042	299874	926	0.3333333333333333	4436.780050750328	72084	143130	2429	4824	1
[0, 1]	[[613.847, 130.06], [25.589000000000002, 32.051]]	1	0.08641975308641975	0.8641975308641975	1	157.77804122601168	1553	1553	0.6666666666666666	157.77804122601168	0	0	0	0	1
[1]	[[17.905, 21.494999999999997]]	0	0.8708621316842489	0.8708621316842489	5	1106.0292239019855	299900	2081	0.3333333333333333	5530.146119509927	16758	19243	566	650	1
[0]	[[199.716, 591.0529999999999]]	0	0.5104607859011615	0.5104607859011615	5	1054.2902420634102	299992	7436	0.3333333333333333	5450.144082325176	59899	117343	2064	4043	1
[0]	[[-130.06, 160.03980377558884]]	0	1.0	1.0	9	1134.9427301230523	299972	7980	0.3333333333333333	10289.007142355424	54330	54330	1875	1875	1
[1]	[[22.2924, 26.8876]]	0	0.502610627214506	0.502610627214506	3	1104.0186164341683	299976	10086	0.3333333333333333	3344.7730695861937	83267	165669	2895	5760	1
[2, 0]	[[2.23175, 4.0333000000000006], [304.82451224135224, 591.0529999999999]]	0	1.0	1.0	3	1206.4753593508344	299937	13482	0.6666666666666666	3619.4260780525033	6685	6685	235	235	1
[0]	[[161.1887991812975, 266.17499999999995]]	0	0.7896809907384408	0.7896809907384408	4	1036.2723072902502	299992	20762	0.3333333333333333	4253.701920564064	22254	28181	803	1017	1
[1]	[[22.225, 25.814999999999998]]	0	0.5113090978900156	0.5113090978900156	5	1104.5157422008508	299945	27941	0.3333333333333333	5576.989669930184	58595	114598	2171	4246	1
[2, 0]	[[2.23175, 3.8038060240872005], [304.82451224135224, 591.0529999999999]]	0	1.0	1.0	4	1213.9041898585747	299937	28726	0.6666666666666666	4855.616759434299	6026	6026	224	224	1
[2, 0]	[[3.01545, 4.135572519922584], [199.716, 563.884]]	0	1.0	1.0	4	1230.447453678022	299937	30515	0.6666666666666666	4921.789814712088	3417	3417	128	128	1
[0]	[[-130.06, 162.575]]	0	1.0	1.0	13	1134.9427301230523	299972	34878	0.3333333333333333	14861.8992056245	49960	49960	1899	1899	1
[0]	[[742.889, 860.217]]	1	0.8239096290926664	0.8239096290926664	4	1090.0491415684126	299985	36798	0.3333333333333333	4421.307134802579	27278	33108	1045	1268	1
[0]	[[810.807, 860.217]]	1	0.8487520798668885	0.8487520798668885	5	1122.2113814186202	299985	38243	0.3333333333333333	5611.0569070931015	10202	12020	393	463	1
[0]	[[-40.9845766122063, 160.03980377558884]]	0	1.0	1.0	3	1134.9427301230523	299972	40564	0.3333333333333333	3429.6690474518077	48279	48279	1875	1875	1
[0]	[[-130.06, 154.5991565748078]]	0	1.0	1.0	1	1134.9179612949015	299972	43087	0.3333333333333333	1143.1843145232838	46615	46615	1829	1829	1
[0]	[[-130.06, 165.77499999999998]]	0	1.0	1.0	4	1133.4324332694246	299972	49022	0.3333333333333333	4563.452707933904	48076	48076	1930	1930	1
[1]	[[27.083199999999998, 30.8168]]	1	0.6168061072142877	0.6168061072142877	4	983.1462454546603	299965	49134	0.3333333333333333	3983.409431807049	43792	70998	1760	2853	1
[1]	[[20.105, 23.694999999999997]]	0	0.6478815160991032	0.6478815160991032	4	1097.7959091147175	299992	50490	0.3333333333333333	4415.866299948413	37708	58202	1523	2351	1
[2]	[[2.23175, 3.270841394488471]]	0	0.575790508720178	0.575790508720178	8	1170.0382790186964	299937	58949	0.3333333333333333	9430.382790186963	11126	19323	465	808	1
[2]	[[3.01545, 4.135572519922584]]	0	0.657991202346041	0.657991202346041	7	1195.2837471966984	299937	65282	0.3333333333333333	8366.98623037689	5385	8184	231	351	1
[0]	[[304.82451224135224, 591.0529999999999]]	0	0.4426487125515412	0.4426487125515412	8	1069.5942729638589	299976	66787	0.3333333333333333	105135.14646188522	30703	69362	1327	2997	1
[2]	[[3.01545, 3.8038060240872005]]	0	0.6605311226640438	0.6605311226640438	8	1213.3069748466592	299937	67740	0.3333333333333333	9706.455798773273	4701	7117	204	309	1
[2]	[[2.23175, 4.309172039822497]]	0	0.5978377450770089	0.5978377450770089	6	1168.7185540954547	299937	70489	0.3333333333333333	7062.889155715911	13935	23309	612	1024	1
[2, 0]	[[2.395745714246072, 4.309172039822497], [315.822, 591.0529999999999]]	0	1.0	1.0	5	1206.0087387994045	299937	78261	0.6666666666666666	6030.043693997022	4531	4531	206	206	1
[0]	[[247.801, 526.2159999999999]]	0	0.5252564920720633	0.5252564920720633	3	1066.7066735290398	299976	80385	0.3333333333333333	3270.718790209218	32100	61113	1474	2806	1
[0]	[[810.807, 940.0056485052726]]	1	0.8342157511581734	0.8342157511581734	2	1029.3774645850317	299985	85636	0.3333333333333333	2091.4436614625793	17647	21154	830	995	1
[2]	[[3.1750247555181463, 3.8038060240872005]]	0	0.6883285677151026	0.6883285677151026	9	1205.8373847037585	299862	91105	0.3333333333333333	10852.536462333826	2648	3847	128	186	1
[0]	[[315.822, 379.0734086275965]]	0	0.552773469237019	0.552773469237019	6	1083.5611302984942	299976	95754	0.3333333333333333	6501.3667817909645	7484	13539	369	668	1
[0]	[[-130.06, -130.06]]	0	0.0827550085111955	0.8275500851119549	7	1148.7523805474461	101887	101887	0.3333333333333333	8041.2666638321225	0	0	0	0	1
