Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[0, 1]	[[-130.06, 160.03980377558884], [21.9464, 29.4136]]	0	1.0	1.0	5	1216.7095518427122	49977	6108	0.6666666666666666	6189.4346990169515	5500	5500	1264	1264	1
[0]	[[602.632, 1330.9679999999998]]	0	0.20621626651777406	0.20621626651777406	1	1170.8312034102332	49969	6140	0.3333333333333333	1205.7890042627917	3324	16119	765	3704	1
[0, 1]	[[-130.06, 85.81764880444229], [18.7116, 24.168400000000002]]	0	1.0	1.0	3	1164.0312209361693	49943	6157	0.6666666666666666	3492.0936628085083	3514	3514	814	814	1
[0]	[[-6.79200000000003, 825.592]]	1	0.4572029388094187	0.4572029388094187	1	1182.3261213092114	49976	6203	0.3333333333333333	1169.3651754213058	17611	38519	4051	8871	1
[0]	[[-130.06, 369.26500000000004]]	0	0.8387077861163227	0.8387077861163227	2	1158.4678390998256	49990	6249	0.3333333333333333	2305.323433104618	14305	17056	3308	3939	1
[0]	[[-53.307000000000016, 844.107]]	0	0.5352789348598298	0.5352789348598298	3	1182.3261213092114	49990	6329	0.3333333333333333	3508.0955262639172	20946	39131	4845	9037	1
[0]	[[213.87669786368798, 1259.423]]	1	0.6455093050436034	0.6455093050436034	1	1176.329300208155	49986	6454	0.3333333333333333	1188.2373817754938	21540	33369	4978	7716	1
[2, 1]	[[1.8329284328804056, 6.0686], [24.7344, 30.7656]]	0	0.5358246285125791	0.5358246285125791	1	1192.9985051993185	49931	6491	0.6666666666666666	1197.998131499148	3642	6797	842	1569	1
[2]	[[1.1722500000000002, 4.22775]]	0	0.5202993575733492	0.5202993575733492	3	1202.4104237131473	49969	6514	0.3333333333333333	3589.8971897565993	7856	15099	1823	3497	1
[2]	[[-0.679, 1.6296]]	0	0.48445456179236807	0.48445456179236807	2	1158.7082471099825	49990	6535	0.3333333333333333	2352.106543636154	16174	33386	3758	7744	1
[0]	[[-130.06, 370.671]]	0	0.8378060263653484	0.8378060263653484	2	1158.4678390998256	49990	6578	0.3333333333333333	2305.323433104618	14236	16992	3316	3953	1
[0, 2]	[[-130.06, 85.81764880444229], [-0.679, 0.8827]]	0	1.0	1.0	3	1149.3672104985776	49900	6578	0.6666666666666666	3461.127039369666	4150	4150	971	971	1
[0]	[[-48.247000000000014, 589.047]]	0	0.6790916560842608	0.6790916560842608	2	1181.6017536341556	49990	6691	0.3333333333333333	2330.095215250917	18182	26774	4238	6234	1
