Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
10080	1292	2797	0.770734126984127	0.5783577642712486	0.0	9.53973464568456
20160	1662	3000	0.7699404761904762	0.5780000000000081	0.5102286401925391	11.082192607720692
30240	1782	3000	0.7692460317460318	0.588333333333342	0.5398428731762065	14.349972609678904
40320	1799	3000	0.7685515873015873	0.5938888888888973	0.5525291828793775	16.366223939259847
50400	1838	3000	0.7686507936507937	0.6011111111111216	0.544069640914037	19.380291084448498
60480	1877	3000	0.7691468253968254	0.6106666666666785	0.5535428875865743	21.83879880110423
70560	1875	3000	0.7692460317460318	0.6158888888889004	0.5605333333333333	24.46841947635015
80640	1878	3000	0.7699404761904762	0.6220000000000128	0.5553780617678381	26.916501931349437
90720	1862	3000	0.7676587301587302	0.6286666666666791	0.5488721804511278	29.565757830937702
100800	1889	3000	0.766170634920635	0.6316666666666796	0.5532027527792482	32.62861837148667
110880	1923	3000	0.766170634920635	0.6312222222222341	0.5507020280811232	34.838535658518474
120960	1919	3000	0.7631944444444444	0.6352222222222353	0.5627931214174049	37.035614824295045
131040	1938	3000	0.7651785714285714	0.634777777777791	0.5717234262125903	39.23661263783773
141120	1985	3000	0.763095238095238	0.63866666666668	0.5748110831234257	41.438131948312126
151200	2013	3000	0.7625992063492063	0.6396666666666803	0.568802781917536	44.160229464372
161280	2016	3000	0.7615079365079365	0.6384444444444572	0.5674603174603174	46.73765932321548
171360	1989	3000	0.7592261904761904	0.6431111111111244	0.5992961287078934	49.337418325742085
181440	2005	3000	0.7610119047619047	0.6434444444444604	0.5820448877805486	52.01196673313777
191520	2000	3000	0.7624007936507936	0.6472222222222371	0.5955	54.76953229904175
201600	2037	3000	0.7610119047619047	0.6503333333333485	0.6018654884634266	58.7218035141627
211680	2045	3000	0.7597222222222222	0.6517777777777942	0.6156479217603912	61.4727471669515
221760	2048	3000	0.7592261904761904	0.6522222222222372	0.638671875	63.893691674868265
231840	2035	3000	0.7596230158730158	0.6516666666666824	0.6471744471744472	66.16564689079921
241920	2071	3000	0.7613095238095238	0.6527777777777944	0.6634476098503138	68.36861323515573
252000	2067	3000	0.7583333333333333	0.6530000000000168	0.6787614900822448	70.66918089389802
262080	2092	3000	0.7559523809523809	0.6537777777777963	0.6835564053537285	72.85936901966731
272160	2082	3000	0.7552579365079365	0.6544444444444623	0.6926032660902978	75.12955207029978
282240	2091	3000	0.7573412698412698	0.6538888888889066	0.7120994739359159	77.10667049090067
292320	2038	3000	0.7548611111111111	0.6533333333333509	0.7482826300294406	79.03126445213954
