Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[0, 2]	[[670.0074999999999, 118.07000000000001], [-0.7050000000000001, 2.38075]]	0	0.03333333333333333	0.3333333333333333	1	2.65184	36	36	0.6666666666666666	2.65184	0	0	0	0	1
[0, 2, 1]	[[670.0074999999999, 118.07000000000001], [-0.7050000000000001, 2.95875], [24.88, 30.44]]	0	0.03333333333333333	0.3333333333333333	1	2.65184	36	36	1.0	2.65184	0	0	0	0	1
[0]	[[-118.07000000000001, 155.29100000000003]]	0	1.0	1.0	11	551.4957528156908	499998	728	0.3333333333333333	5749.729064399608	90392	90392	1303	1303	1
[0]	[[-75.77867078431332, 190.5085]]	0	0.9933784208870714	0.9933784208870714	7	544.9553295432981	499998	194591	0.3333333333333333	3569.4986460997798	63159	63580	1488	1498	1
[0]	[[-38.43281618626819, 192.50915340270018]]	0	0.9914415874044564	0.9914415874044564	7	544.9550462397923	499998	250073	0.3333333333333333	3569.4947728096604	52014	52463	1498	1511	1
[0, 2]	[[908.5914999999999, 913.846981363675], [1.11875, 3.81175]]	1	1.0	1.0	9	496.6349437311425	499227	255014	0.6666666666666666	4469.714493580283	477	477	14	14	1
[0]	[[1119.6053495380352, 1266.2155]]	1	1.0	1.0	13	242.83834801834178	499919	265724	0.3333333333333333	3156.8985242384433	263	263	8	8	1
[0]	[[1120.3465234475711, 1132.4295]]	1	1.0	1.0	4	250.71674749847534	499182	308116	0.3333333333333333	1002.8669899939014	79	79	3	3	1
[0, 1]	[[908.5914999999999, 913.846981363675], [22.509, 27.790999999999997]]	1	1.0	1.0	10	501.1396061381635	499227	324210	0.6666666666666666	5011.396061381635	366	366	15	15	1
[2, 0]	[[2.3719847082243675, 2.577955129615627], [744.702, 1061.2085]]	1	1.0	1.0	9	461.5149334404879	499881	329525	0.6666666666666666	4153.634400964391	757	757	32	32	1
[0, 2]	[[998.3631932650602, 1061.2085], [2.577955129615627, 5.306747079497678]]	1	1.0	1.0	6	308.01368616103076	499269	334836	0.6666666666666666	1848.0821169661845	367	367	16	16	1
[0, 2]	[[960.6222397654607, 962.698], [-0.7050000000000001, 2.1149999999999998]]	1	1.0	1.0	7	402.7147525723388	499774	335117	0.6666666666666666	2819.0032680063714	115	115	5	5	1
[0, 2]	[[119.85999999999999, 472.2225000000001], [1.613, 4.5600000000000005]]	0	1.0	1.0	10	494.94158355120686	499988	345139	0.6666666666666666	4949.415835512069	11139	11139	517	517	1
[2, 0]	[[0.008384308974753063, 0.7777054120972067], [1028.3328054580259, 1092.431]]	1	1.0	1.0	10	317.3428985022898	499324	353965	0.6666666666666666	3173.428985022898	165	165	8	8	1
[0, 2]	[[523.5288002986865, 600.2470000000001], [2.22525, 3.2610546162210023]]	0	1.0	1.0	4	476.339243472116	499632	371953	0.6666666666666666	1905.356973888464	499	499	28	28	1
[0]	[[-18.31693632203187, 160.0875]]	0	1.0	1.0	1	551.5617282258047	499998	399643	0.3333333333333333	522.8315004410248	18564	18564	1331	1331	1
[0]	[[-44.35066799221795, 32.193102826059885]]	0	1.0	1.0	1	498.6886639704723	499998	399833	0.3333333333333333	479.3608299630904	7839	7839	563	563	1
[0]	[[-49.59341784944344, 153.491]]	0	1.0	1.0	3	551.4957517985831	499998	402429	0.3333333333333333	1568.107920694823	17545	17545	1293	1293	1
[0]	[[-29.818248095516964, 74.71640174623568]]	0	1.0	1.0	1	532.4492215173502	499998	409312	0.3333333333333333	509.70190862085974	10704	10704	848	848	1
[0]	[[-44.35066799221795, 156.4172254642429]]	0	1.0	1.0	1	551.4957528156908	499998	409549	0.3333333333333333	522.7026422181463	16442	16442	1307	1307	1
