Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[0, 2]	[[670.0074999999999, 118.07000000000001], [-0.7050000000000001, 2.38075]]	0	0.03333333333333333	0.3333333333333333	1	2.65184	36	36	0.6666666666666666	2.65184	0	0	0	0	1
[0, 2, 1]	[[670.0074999999999, 118.07000000000001], [-0.7050000000000001, 2.95875], [24.88, 30.44]]	0	0.03333333333333333	0.3333333333333333	1	2.65184	36	36	1.0	2.65184	0	0	0	0	1
[0]	[[-118.07000000000001, 155.29100000000003]]	0	1.0	1.0	14	512.7362969153667	349993	728	0.3333333333333333	73287.12205650174	63218	63218	1303	1303	1
[0]	[[-118.07000000000001, 165.29800000000003]]	0	1.0	1.0	10	510.64185683549965	349993	5338	0.3333333333333333	5165.5232104437455	64526	64526	1348	1348	1
[0, 2]	[[1114.1998688548026, 1200.182], [-0.7050000000000001, 2.283]]	1	1.0	1.0	9	295.35250764577995	348719	145729	0.6666666666666666	2658.1725688120196	171	171	6	6	1
[2, 0]	[[2.50725, 5.8353430239997], [470.7342466838793, 627.2995000000001]]	0	1.0	1.0	7	402.51351570279087	349983	155736	0.6666666666666666	2817.594609919536	1593	1593	59	59	1
[0]	[[-5.749525557751504, 152.13078342510119]]	0	1.0	1.0	2	512.7362969153667	349993	188021	0.3333333333333333	1038.3407422884168	28983	28983	1288	1288	1
[0]	[[-75.77867078431332, 190.5085]]	0	0.9933549683201978	0.9933549683201978	10	491.4824735868532	349993	194591	0.3333333333333333	4926.030919835665	32140	32355	1488	1498	1
[2, 0]	[[2.3719847082243675, 5.306747079497678], [998.3631932650602, 1061.2085]]	1	1.0	1.0	3	320.36200844365555	349737	212951	0.6666666666666666	961.0860253309667	326	326	17	17	1
[0]	[[-45.46138102810858, 157.5875]]	0	1.0	1.0	2	510.6526253795634	349993	223979	0.3333333333333333	1033.1315634489085	23045	23045	1316	1316	1
[0]	[[-43.800491544752006, 154.74146536017193]]	0	1.0	1.0	1	512.7362969153667	349993	226295	0.3333333333333333	519.1703711442084	22350	22350	1300	1300	1
[0]	[[-5.749525557751504, 188.912]]	0	0.9939793577981652	0.9939793577981652	8	491.4825582003395	349993	232052	0.3333333333333333	3940.825582003395	24269	24416	1480	1489	1
[0]	[[123.7603291188619, 165.29800000000003]]	0	1.0	1.0	6	489.94772580408136	349794	248842	0.3333333333333333	2939.6863548244883	3121	3121	222	222	1
[0]	[[-38.43281618626819, 192.50915340270018]]	0	0.9913682102150794	0.9913682102150794	12	491.48240529704026	349993	250073	0.3333333333333333	5911.236079455604	20788	20969	1498	1511	1
[0, 2]	[[908.5914999999999, 913.846981363675], [1.11875, 3.81175]]	1	1.0	1.0	10	478.10925034524206	349373	255014	0.6666666666666666	4781.092503452421	184	184	14	14	1
[0, 2]	[[1120.3465234475711, 1244.989], [-0.7050000000000001, 4.491]]	1	1.0	1.0	1	273.6785628976616	348719	256783	0.6666666666666666	273.6785628976616	104	104	8	8	1
[0, 2]	[[199.81099999999998, 1263.0974093568932], [-0.7050000000000001, 0.3016961043473525]]	1	0.6978882833787466	0.6978882833787466	1	438.9872238319009	349974	264547	0.6666666666666666	437.3867769333518	16392	23488	1382	1980	1
[0]	[[1119.6053495380352, 1266.2155]]	1	1.0	1.0	4	273.6785629039158	348719	265724	0.3333333333333333	1094.7142516156632	95	95	8	8	1
[0, 2]	[[384.65999999999997, 1098.0135], [-0.7050000000000001, 0.7777054120972067]]	1	0.7737107909002455	0.7737107909002455	1	454.5340802584932	349979	266611	0.6666666666666666	439.2095004038957	16699	21583	1442	1865	1
[0, 2]	[[877.8988637383792, 1162.1264868606738], [3.4514487099145454, 5.159960556395817]]	1	1.0	1.0	1	310.11045997952266	349737	274963	0.6666666666666666	310.11045997952266	144	144	14	14	1
