R_0 R_1 R_2 R_3 Class
0.2500 0.0000 20.2000 0.0000 0
0.2569 4.0000 20.1000 0.0000 0
0.2639 11.0000 20.1000 0.0000 0
0.2708 20.0000 20.2000 0.0000 0
0.2778 22.0000 20.3000 0.0000 0
0.2847 21.0000 20.2000 0.0000 0
0.2917 26.0000 20.1000 0.0000 0
0.2986 29.0000 20.0000 0.0000 0
0.3056 32.0000 20.1000 0.0000 0
0.3125 31.0000 20.3000 0.0000 0
0.3194 25.0000 20.3000 0.0000 0
0.3264 39.0000 20.3000 0.0000 0
0.3333 49.0000 20.4000 0.0000 0
0.3403 58.0000 20.3000 0.0000 0
0.3472 64.0000 20.3000 0.0000 0
0.3542 84.0000 20.4000 0.0000 0
0.3611 98.0000 20.4000 0.0000 0
0.3681 108.0000 20.6000 0.0000 0
0.3750 121.0000 20.7000 0.0000 0
0.3819 100.0000 20.7000 0.0000 0
0.3889 128.0000 20.7000 0.0000 0
0.3958 145.0000 20.9000 0.0000 0
0.4028 103.0000 21.2000 0.0000 0
0.4097 170.0000 21.2000 0.0000 0
0.4167 156.0000 21.1000 0.0000 0
0.4236 88.0000 21.4000 0.0000 0
0.4306 138.0000 21.3000 0.0000 0
0.4375 158.0000 21.1000 0.0000 0
0.4444 146.0000 21.3000 0.0000 0
0.4514 149.0000 21.6000 0.0000 0
0.4583 149.0000 21.7000 0.0000 0
0.4653 192.0000 21.7000 0.0000 0
0.4722 200.0000 21.6000 0.0000 0
0.4792 69.0000 21.8000 0.0000 0
0.4861 156.0000 21.7000 0.0000 0
0.4931 263.0000 21.5000 0.0000 0
0.5000 270.0000 21.6000 0.0000 0
0.5069 264.0000 21.8000 0.0000 0
0.5139 284.0000 22.1000 0.0000 0
0.5208 275.0000 22.1000 0.0000 0
0.5278 300.0000 22.1000 0.0000 0
0.5347 321.0000 22.2000 0.4000 0
0.5417 303.0000 22.3000 0.0000 0
0.5486 288.0000 22.6000 0.0000 0
0.5556 359.0000 22.6000 0.0000 1
0.5625 342.0000 22.8000 0.0000 0
0.5694 361.0000 23.1000 0.0000 0
0.5764 342.0000 23.3000 0.0000 0
0.5833 310.0000 23.4000 0.0000 0
0.5903 313.0000 23.8000 0.0000 0
0.5972 310.0000 23.9000 0.0000 0
0.6042 292.0000 23.9000 0.4000 0
0.6111 380.0000 23.8000 0.0000 0
0.6181 356.0000 24.1000 0.0000 0
0.6250 258.0000 24.2000 0.4000 0
0.6319 226.0000 24.0000 0.0000 0
0.6389 201.0000 23.8000 0.0000 0
0.6458 151.0000 23.8000 0.0000 0
0.6528 134.0000 23.7000 0.0000 0
0.6597 111.0000 23.6000 0.4000 0
0.6667 107.0000 23.3000 0.4000 0
0.6736 92.0000 23.1000 0.9000 0
0.6806 160.0000 22.9000 0.0000 0
0.6875 134.0000 22.9000 0.0000 0
0.6944 127.0000 22.9000 0.0000 0
0.7014 102.0000 22.9000 0.0000 0
0.7083 81.0000 22.9000 0.0000 0
0.7153 69.0000 22.8000 0.0000 0
0.7222 47.0000 22.8000 0.0000 0
0.7292 31.0000 22.8000 0.0000 0
0.7361 23.0000 22.8000 0.0000 0
0.7431 12.0000 22.7000 0.0000 0
