R_0 R_1 R_2 R_3 Class
0.2500 1.0000 21.6000 0.0000 0
0.2569 7.0000 21.3000 0.0000 0
0.2639 17.0000 21.2000 0.0000 0
0.2708 29.0000 21.2000 0.0000 0
0.2778 38.0000 21.3000 0.0000 0
0.2847 33.0000 21.6000 0.0000 0
0.2917 42.0000 21.8000 0.0000 0
0.2986 52.0000 22.1000 0.0000 0
0.3056 69.0000 22.4000 0.0000 0
0.3125 82.0000 22.4000 0.0000 0
0.3194 93.0000 22.3000 0.0000 0
0.3264 97.0000 22.3000 0.0000 0
0.3333 101.0000 22.7000 0.0000 0
0.3403 108.0000 23.1000 0.0000 0
0.3472 125.0000 23.2000 0.0000 0
0.3542 142.0000 23.4000 0.0000 0
0.3611 158.0000 23.7000 0.0000 0
0.3681 157.0000 23.6000 0.0000 0
0.3750 173.0000 23.9000 0.0000 0
0.3819 173.0000 24.1000 0.0000 0
0.3889 178.0000 24.4000 0.0000 0
0.3958 185.0000 24.7000 0.0000 0
0.4028 215.0000 25.2000 0.0000 0
0.4097 227.0000 25.6000 0.0000 0
0.4167 231.0000 25.8000 0.0000 0
0.4236 225.0000 26.1000 0.4000 0
0.4306 222.0000 26.9000 0.4000 0
0.4375 187.0000 28.1000 0.4000 0
0.4444 173.0000 28.5000 0.4000 0
0.4514 110.0000 28.1000 0.4000 0
0.4583 118.0000 28.1000 0.9000 0
0.4653 111.0000 28.3000 0.4000 0
0.4722 134.0000 28.7000 0.9000 0
0.4792 126.0000 28.9000 0.9000 0
0.4861 191.0000 28.1000 0.9000 0
0.4931 149.0000 27.8000 0.4000 0
0.5000 129.0000 28.3000 1.8000 0
0.5069 225.0000 28.6000 1.3000 0
0.5139 153.0000 28.8000 0.9000 0
0.5208 234.0000 28.9000 0.4000 0
0.5278 186.0000 29.1000 0.4000 0
0.5347 154.0000 29.2000 0.4000 0
0.5417 236.0000 29.0000 0.4000 0
0.5486 134.0000 28.9000 0.4000 0
0.5556 262.0000 28.7000 0.4000 0
0.5625 196.0000 28.4000 0.4000 0
0.5694 196.0000 28.5000 0.4000 0
0.5764 215.0000 28.4000 0.4000 0
0.5833 213.0000 28.7000 0.9000 0
0.5903 201.0000 28.5000 0.9000 0
0.5972 208.0000 29.2000 0.4000 0
0.6042 158.0000 29.8000 0.4000 0
0.6111 184.0000 30.1000 0.4000 0
0.6181 182.0000 30.5000 0.4000 0
0.6250 163.0000 30.4000 0.9000 0
0.6319 136.0000 30.2000 0.4000 0
0.6389 147.0000 30.0000 0.4000 0
0.6458 131.0000 30.2000 0.4000 0
0.6528 131.0000 30.1000 0.9000 0
0.6597 124.0000 29.6000 0.4000 0
0.6667 136.0000 29.6000 0.4000 0
0.6736 118.0000 29.7000 0.4000 0
0.6806 113.0000 29.7000 0.4000 0
0.6875 99.0000 29.6000 0.4000 0
0.6944 86.0000 29.2000 0.9000 0
0.7014 66.0000 28.8000 0.9000 0
0.7083 55.0000 28.6000 0.4000 0
0.7153 50.0000 28.2000 0.4000 0
0.7222 49.0000 28.1000 0.4000 0
0.7292 39.0000 27.8000 0.4000 0
0.7361 19.0000 27.4000 0.4000 0
0.7431 10.0000 27.2000 0.0000 0
