R_0 R_1 R_2 R_3 Class
0.2500 30.0000 21.6000 0.0000 0
0.2569 47.0000 21.6000 0.0000 0
0.2639 84.0000 21.7000 0.0000 0
0.2708 112.0000 21.3000 0.0000 0
0.2778 100.0000 20.9000 0.0000 0
0.2847 119.0000 20.8000 0.0000 0
0.2917 130.0000 20.9000 0.0000 0
0.2986 177.0000 21.2000 0.0000 0
0.3056 207.0000 21.4000 0.0000 0
0.3125 274.0000 21.8000 0.0000 0
0.3194 450.0000 22.3000 0.0000 0
0.3264 535.0000 22.7000 0.0000 0
0.3333 590.0000 23.0000 0.0000 1
0.3403 514.0000 23.6000 0.0000 0
0.3472 346.0000 24.1000 0.0000 0
0.3542 305.0000 23.7000 0.0000 0
0.3611 323.0000 23.8000 0.0000 0
0.3681 345.0000 23.9000 0.0000 0
0.3750 418.0000 24.6000 0.0000 1
0.3819 448.0000 25.6000 0.0000 0
0.3889 488.0000 26.4000 0.0000 0
0.3958 493.0000 26.3000 0.0000 0
0.4028 528.0000 26.2000 0.0000 0
0.4097 591.0000 26.1000 0.0000 0
0.4167 624.0000 25.9000 0.0000 1
0.4236 733.0000 26.1000 0.0000 0
0.4306 912.0000 26.8000 0.0000 0
0.4375 967.0000 27.5000 0.4000 0
0.4444 935.0000 27.7000 0.4000 1
0.4514 942.0000 27.8000 0.4000 0
0.4583 264.0000 27.8000 0.4000 0
0.4653 421.0000 27.6000 0.4000 0
0.4722 479.0000 28.4000 0.4000 0
0.4792 900.0000 28.6000 2.2000 0
0.4861 991.0000 28.4000 2.2000 1
0.4931 992.0000 28.4000 1.8000 0
0.5000 1001.0000 28.4000 1.8000 0
0.5069 988.0000 28.2000 1.3000 0
0.5139 973.0000 28.1000 1.8000 1
0.5208 950.0000 28.3000 0.9000 0
0.5278 935.0000 28.4000 0.9000 0
0.5347 929.0000 28.2000 0.9000 0
0.5417 923.0000 28.1000 1.3000 1
0.5486 888.0000 28.3000 1.3000 0
0.5556 863.0000 28.3000 1.3000 0
0.5625 846.0000 28.1000 1.8000 0
0.5694 830.0000 28.2000 0.9000 0
0.5764 831.0000 28.2000 1.3000 1
0.5833 835.0000 28.4000 1.3000 0
0.5903 834.0000 28.4000 1.3000 0
0.5972 608.0000 27.9000 1.8000 0
0.6042 753.0000 27.7000 2.2000 0
0.6111 753.0000 27.8000 1.8000 1
0.6181 412.0000 27.8000 1.8000 0
0.6250 598.0000 27.4000 1.3000 0
0.6319 589.0000 27.5000 0.9000 0
0.6389 290.0000 27.5000 0.9000 0
0.6458 422.0000 27.2000 1.3000 0
0.6528 512.0000 27.3000 0.9000 0
0.6597 295.0000 27.2000 0.9000 0
0.6667 304.0000 27.3000 0.0000 0
0.6736 306.0000 27.1000 0.4000 0
0.6806 284.0000 27.0000 0.4000 0
0.6875 254.0000 26.7000 0.4000 0
0.6944 148.0000 26.4000 1.3000 0
0.7014 106.0000 25.9000 0.4000 0
0.7083 90.0000 25.7000 0.4000 0
0.7153 78.0000 25.4000 0.4000 0
0.7222 50.0000 25.3000 0.4000 0
0.7292 37.0000 25.0000 0.4000 0
0.7361 27.0000 24.8000 0.4000 0
0.7431 15.0000 24.7000 0.0000 0
