R_0 R_1 R_2 R_3 Class
0.2500 12.0000 20.0000 0.0000 0
0.2569 25.0000 20.1000 0.0000 0
0.2639 33.0000 20.1000 0.0000 0
0.2708 46.0000 20.2000 0.9000 0
0.2778 57.0000 20.4000 0.9000 0
0.2847 68.0000 20.6000 0.4000 0
0.2917 78.0000 20.7000 0.4000 0
0.2986 37.0000 20.4000 0.4000 0
0.3056 42.0000 20.2000 0.4000 0
0.3125 40.0000 20.2000 0.0000 0
0.3194 66.0000 20.3000 0.4000 0
0.3264 109.0000 20.4000 0.0000 0
0.3333 138.0000 20.5000 0.0000 0
0.3403 182.0000 20.7000 0.0000 0
0.3472 229.0000 21.1000 0.0000 0
0.3542 338.0000 21.5000 0.0000 0
0.3611 405.0000 21.9000 0.0000 0
0.3681 440.0000 22.2000 0.9000 0
0.3750 471.0000 22.3000 0.9000 0
0.3819 445.0000 22.5000 0.9000 0
0.3889 487.0000 22.8000 0.9000 0
0.3958 569.0000 22.9000 0.4000 1
0.4028 562.0000 23.2000 0.9000 0
0.4097 562.0000 23.6000 0.9000 0
0.4167 513.0000 23.9000 0.4000 0
0.4236 464.0000 24.4000 0.4000 0
0.4306 435.0000 24.4000 0.9000 0
0.4375 637.0000 24.3000 0.9000 1
0.4444 710.0000 24.7000 1.3000 0
0.4514 359.0000 24.7000 1.8000 0
0.4583 572.0000 24.5000 1.3000 0
0.4653 191.0000 24.7000 2.2000 0
0.4722 121.0000 24.3000 1.3000 0
0.4792 161.0000 23.9000 1.3000 0
0.4861 172.0000 23.6000 2.7000 0
0.4931 355.0000 23.3000 2.2000 0
0.5000 581.0000 23.7000 2.7000 0
0.5069 250.0000 24.0000 3.6000 0
0.5139 365.0000 23.6000 3.6000 0
0.5208 302.0000 23.9000 4.0000 0
0.5278 365.0000 24.1000 3.6000 0
0.5347 726.0000 24.2000 3.1000 0
0.5417 765.0000 24.6000 2.7000 0
0.5486 842.0000 24.7000 2.7000 0
0.5556 767.0000 24.6000 2.7000 1
0.5625 533.0000 24.6000 2.7000 0
0.5694 437.0000 24.4000 3.6000 0
0.5764 742.0000 24.6000 2.7000 0
0.5833 763.0000 24.9000 3.6000 0
0.5903 640.0000 24.8000 3.1000 0
0.5972 355.0000 24.8000 2.2000 0
0.6042 434.0000 24.8000 2.7000 0
0.6111 587.0000 24.8000 2.7000 0
0.6181 446.0000 24.7000 2.7000 0
0.6250 471.0000 24.7000 3.1000 0
0.6319 470.0000 24.8000 2.7000 0
0.6389 414.0000 24.9000 2.2000 0
0.6458 419.0000 25.1000 2.2000 0
0.6528 377.0000 25.1000 2.2000 0
0.6597 356.0000 24.9000 1.8000 0
0.6667 310.0000 25.3000 1.3000 0
0.6736 287.0000 25.4000 1.3000 0
0.6806 236.0000 25.3000 1.8000 0
0.6875 186.0000 25.1000 1.3000 0
0.6944 146.0000 24.9000 1.3000 0
0.7014 114.0000 24.8000 0.9000 0
0.7083 81.0000 24.5000 1.3000 0
0.7153 59.0000 24.2000 1.3000 0
0.7222 48.0000 24.0000 0.9000 0
0.7292 16.0000 23.7000 1.3000 0
0.7361 2.0000 23.3000 1.3000 0
0.7431 0.0000 23.0000 0.9000 0
