R_0 R_1 R_2 Class
531.0000 24.9100 0.0000 0
511.0000 24.9400 0.0000 1
491.0000 24.9700 0.0000 0
471.0000 25.0000 0.0000 0
495.6000 24.9900 0.0000 0
520.2000 24.9800 0.0000 0
544.8000 24.9700 0.0000 0
569.4000 24.9600 0.0000 1
594.0000 24.9500 0.0000 0
618.6000 24.9400 0.0000 0
643.2000 24.9300 0.0000 0
667.8000 24.9200 0.0000 0
692.4000 24.9100 0.0000 1
717.0000 24.9000 0.0000 0
702.0000 24.9700 0.0000 0
687.0000 25.0400 0.0000 0
672.0000 25.1100 0.0000 0
657.0000 25.1800 0.0000 1
642.0000 25.2500 0.0000 0
627.0000 25.3200 0.0000 0
612.0000 25.3900 0.0000 0
597.0000 25.4600 0.0000 0
582.0000 25.5300 0.0000 1
567.0000 25.6000 0.0000 0
540.1000 25.6400 0.0000 0
513.2000 25.6800 0.0000 0
486.3000 25.7200 0.0000 0
459.4000 25.7600 0.0000 0
432.5000 25.8000 0.0000 1
405.6000 25.8400 0.0000 0
378.7000 25.8800 0.0000 0
351.8000 25.9200 0.0000 0
324.9000 25.9600 0.0000 0
298.0000 26.0000 0.0000 0
314.2000 26.0600 0.0000 0
330.4000 26.1200 0.0000 0
346.6000 26.1800 0.0000 0
362.8000 26.2400 0.0000 0
379.0000 26.3000 0.0000 1
395.2000 26.3600 0.0000 0
411.4000 26.4200 0.0000 0
427.6000 26.4800 0.0000 0
443.8000 26.5400 0.0000 0
460.0000 26.6000 0.0000 0
498.8000 26.6200 0.0000 0
537.6000 26.6400 0.0000 1
576.4000 26.6600 0.0000 0
615.2000 26.6800 0.0000 0
654.0000 26.7000 0.0000 0
692.8000 26.7200 0.0000 0
731.6000 26.7400 0.0000 1
770.4000 26.7600 0.0000 0
809.2000 26.7800 0.0000 0
848.0000 26.8000 0.0000 0
860.4000 26.8400 0.0000 1
872.8000 26.8800 0.0000 0
885.2000 26.9200 0.0000 0
897.6000 26.9600 0.0000 0
910.0000 27.0000 0.0000 1
922.4000 27.0400 0.0000 0
934.8000 27.0800 0.0000 0
947.2000 27.1200 0.0000 0
959.6000 27.1600 0.0000 1
972.0000 27.2000 0.0000 0
959.6000 27.2100 0.0000 0
947.2000 27.2200 0.0000 0
934.8000 27.2300 0.0000 1
922.4000 27.2400 0.0000 0
910.0000 27.2500 0.0000 0
897.6000 27.2600 0.0000 0
885.2000 27.2700 0.0000 1
872.8000 27.2800 0.0000 0
860.4000 27.2900 0.0000 0
848.0000 27.3000 0.0000 0
785.8000 27.3100 0.0000 1
723.6000 27.3200 0.0000 0
661.4000 27.3300 0.0000 0
599.2000 27.3400 0.0000 0
537.0000 27.3500 0.0000 1
474.8000 27.3600 0.0000 0
412.6000 27.3700 0.0000 0
350.4000 27.3800 0.0000 0
288.2000 27.3900 0.0000 0
226.0000 27.4000 0.0000 0
298.0000 27.3800 0.0000 0
370.0000 27.3600 0.0000 0
442.0000 27.3400 0.0000 1
514.0000 27.3200 0.0000 0
586.0000 27.3000 0.0000 0
658.0000 27.2800 0.0000 0
730.0000 27.2600 0.0000 0
802.0000 27.2400 0.0000 1
874.0000 27.2200 0.0000 0
946.0000 27.2000 0.0000 0
874.4000 27.2100 0.0000 0
802.8000 27.2200 0.0000 1
731.2000 27.2300 0.0000 0
659.6000 27.2400 0.0000 0
588.0000 27.2500 0.0000 0
516.4000 27.2600 0.0000 1
444.8000 27.2700 0.0000 0
373.2000 27.2800 0.0000 0
301.6000 27.2900 0.0000 0
230.0000 27.3000 0.0000 0
233.1000 27.2800 0.0900 0
236.2000 27.2600 0.1800 0
239.3000 27.2400 0.2700 0
242.4000 27.2200 0.3600 0
245.5000 27.2000 0.4500 0
248.6000 27.1800 0.5400 0
251.7000 27.1600 0.6300 0
254.8000 27.1400 0.7200 0
257.9000 27.1200 0.8100 0
261.0000 27.1000 0.9000 0
252.7000 27.0700 0.9900 0
244.4000 27.0400 1.0800 0
236.1000 27.0100 1.1700 0
227.8000 26.9800 1.2600 0
219.5000 26.9500 1.3500 0
211.2000 26.9200 1.4400 0
202.9000 26.8900 1.5300 0
194.6000 26.8600 1.6200 0
186.3000 26.8300 1.7100 0
178.0000 26.8000 1.8000 0
184.6000 26.8000 1.6600 0
191.2000 26.8000 1.5200 0
197.8000 26.8000 1.3800 0
204.4000 26.8000 1.2400 0
211.0000 26.8000 1.1000 0
217.6000 26.8000 0.9600 0
224.2000 26.8000 0.8200 0
230.8000 26.8000 0.6800 0
237.4000 26.8000 0.5400 0
244.0000 26.8000 0.4000 0
223.1000 26.8600 0.3600 0
202.2000 26.9200 0.3200 0
181.3000 26.9800 0.2800 0
160.4000 27.0400 0.2400 0
139.5000 27.1000 0.2000 0
118.6000 27.1600 0.1600 0
97.7000 27.2200 0.1200 0
76.8000 27.2800 0.0800 0
55.9000 27.3400 0.0400 0
35.0000 27.4000 0.0000 0
39.8000 27.3400 0.1800 0
44.6000 27.2800 0.3600 0
49.4000 27.2200 0.5400 0
54.2000 27.1600 0.7200 0
59.0000 27.1000 0.9000 0
63.8000 27.0400 1.0800 0
68.6000 26.9800 1.2600 0
73.4000 26.9200 1.4400 0
78.2000 26.8600 1.6200 0
83.0000 26.8000 1.8000 0
100.2000 26.7500 1.7500 0
117.4000 26.7000 1.7000 0
134.6000 26.6500 1.6500 0
151.8000 26.6000 1.6000 0
169.0000 26.5500 1.5500 0
186.2000 26.5000 1.5000 0
203.4000 26.4500 1.4500 0
220.6000 26.4000 1.4000 0
237.8000 26.3500 1.3500 0
255.0000 26.3000 1.3000 0
263.2000 26.2700 1.3000 0
271.4000 26.2400 1.3000 0
279.6000 26.2100 1.3000 0
287.8000 26.1800 1.3000 0
296.0000 26.1500 1.3000 0
304.2000 26.1200 1.3000 0
312.4000 26.0900 1.3000 0
320.6000 26.0600 1.3000 0
328.8000 26.0300 1.3000 0
337.0000 26.0000 1.3000 0
324.6000 25.9900 1.3900 0
312.2000 25.9800 1.4800 0
299.8000 25.9700 1.5700 0
287.4000 25.9600 1.6600 0
275.0000 25.9500 1.7500 0
262.6000 25.9400 1.8400 0
250.2000 25.9300 1.9300 0
237.8000 25.9200 2.0200 0
225.4000 25.9100 2.1100 0
213.0000 25.9000 2.2000 0
222.9000 25.8800 2.1600 0
232.8000 25.8600 2.1200 0
242.7000 25.8400 2.0800 0
252.6000 25.8200 2.0400 0
262.5000 25.8000 2.0000 0
272.4000 25.7800 1.9600 0
282.3000 25.7600 1.9200 0
292.2000 25.7400 1.8800 0
302.1000 25.7200 1.8400 0
312.0000 25.7000 1.8000 0
333.2000 25.7100 1.8000 0
354.4000 25.7200 1.8000 0
375.6000 25.7300 1.8000 0
396.8000 25.7400 1.8000 0
418.0000 25.7500 1.8000 0
439.2000 25.7600 1.8000 0
460.4000 25.7700 1.8000 0
481.6000 25.7800 1.8000 0
502.8000 25.7900 1.8000 0
524.0000 25.8000 1.8000 0
497.4000 25.8100 1.8000 0
470.8000 25.8200 1.8000 0
444.2000 25.8300 1.8000 0
417.6000 25.8400 1.8000 0
391.0000 25.8500 1.8000 0
364.4000 25.8600 1.8000 0
337.8000 25.8700 1.8000 0
311.2000 25.8800 1.8000 0
284.6000 25.8900 1.8000 0
258.0000 25.9000 1.8000 0
253.8000 25.9200 1.8000 0
249.6000 25.9400 1.8000 0
245.4000 25.9600 1.8000 0
241.2000 25.9800 1.8000 0
237.0000 26.0000 1.8000 0
232.8000 26.0200 1.8000 0
228.6000 26.0400 1.8000 0
224.4000 26.0600 1.8000 0
220.2000 26.0800 1.8000 0
216.0000 26.1000 1.8000 0
216.3000 26.1100 1.8000 0
216.6000 26.1200 1.8000 0
216.9000 26.1300 1.8000 0
217.2000 26.1400 1.8000 0
217.5000 26.1500 1.8000 0
217.8000 26.1600 1.8000 0
218.1000 26.1700 1.8000 0
218.4000 26.1800 1.8000 0
218.7000 26.1900 1.8000 0
219.0000 26.2000 1.8000 0
270.8000 26.2000 1.8000 0
322.6000 26.2000 1.8000 0
374.4000 26.2000 1.8000 0
426.2000 26.2000 1.8000 0
478.0000 26.2000 1.8000 0
529.8000 26.2000 1.8000 0
581.6000 26.2000 1.8000 0
633.4000 26.2000 1.8000 0
685.2000 26.2000 1.8000 1
