R_0 R_1 R_2 Class
952.0000 26.1000 1.3000 1
531.0000 23.2000 0.9000 1
748.7000 27.1100 3.0100 1
423.6000 26.2200 1.0800 1
743.0000 26.2600 0.4000 1
274.6000 23.3200 0.2400 1
503.1000 26.8100 0.3600 1
993.5000 24.7200 0.2800 1
574.0000 27.6000 1.3000 1
990.1000 27.6600 1.1800 1
375.6000 23.7800 0.3200 1
834.8000 23.5400 0.0000 1
546.7000 26.4000 0.5400 1
227.8000 24.6700 0.0000 1
868.0000 23.7000 0.9000 1
588.0000 27.0000 0.4000 1
334.9000 22.7500 0.0000 1
771.4000 27.3600 2.7000 1
555.0000 21.7400 0.0000 1
775.0000 29.0600 2.0600 1
445.5000 22.9000 0.0000 1
355.2000 27.1800 0.1600 1
361.0000 23.8000 0.4000 1
884.8000 27.3000 0.3600 1
745.8000 27.5200 0.9800 1
756.0000 28.8000 2.2000 1
819.2000 28.6300 2.2000 1
828.0000 28.4800 0.6000 1
662.2000 24.5200 1.1400 1
696.6000 28.1800 0.9800 1
1227.0000 27.9000 1.8000 1
412.8000 22.8600 0.3200 1
707.8000 23.7600 0.3200 1
411.7000 23.8900 0.0000 1
670.5000 29.9500 1.3500 1
527.0000 23.6400 0.4000 1
521.6000 28.6100 1.3000 1
589.4000 26.4800 1.5000 1
237.8000 21.9200 0.0000 1
813.2000 28.0600 2.5000 1
529.0000 26.4000 0.0000 1
445.4000 24.7500 0.9000 1
854.0000 27.8000 2.7000 1
560.5000 22.4000 0.6500 1
755.4000 26.3000 3.3000 1
479.0000 29.4000 1.3000 1
357.3000 22.3700 0.0000 1
511.5000 25.6000 0.0000 1
856.8000 26.6600 0.0000 1
814.7000 27.1300 1.3000 1
258.0000 23.3000 0.0000 1
576.5000 28.2700 1.8000 1
978.6000 28.7000 1.4800 1
569.4000 23.7800 0.9000 1
405.2000 22.8300 0.0000 1
552.0000 23.9000 0.0000 1
310.4000 23.7400 0.0000 1
858.5000 30.2500 0.8500 1
464.4000 25.2600 1.3000 1
554.5000 26.2000 1.3500 1
491.6000 23.4000 0.5000 1
693.5000 26.0000 0.0000 1
264.8000 21.7500 0.0000 1
680.0000 27.4200 1.9600 1
747.8000 24.8500 0.4000 1
670.8000 25.5400 1.1200 1
648.6000 29.3400 0.9000 1
844.8000 26.8600 1.7000 1
333.2000 21.2400 0.0000 1
930.4000 27.7000 0.4000 1
565.3000 26.1900 0.9900 1
845.3000 28.1000 0.9400 1
781.2000 28.0600 0.4000 1
599.6000 24.2500 0.7500 1
948.5000 27.9500 0.2000 1
703.3000 23.5400 0.0000 1
731.5000 25.5100 0.3600 1
874.0000 27.7000 2.7000 1
714.4000 24.8600 0.0000 1
633.0000 22.0800 0.0000 1
863.0000 27.9000 1.3000 1
779.6000 26.3000 0.0000 1
798.8000 27.7000 0.6000 1
853.0000 25.2100 0.0000 1
919.4000 26.1300 1.6600 1
684.4000 23.0900 0.1200 1
577.0000 22.7000 1.8000 1
237.7000 21.9000 0.0000 1
643.3000 23.7000 0.3600 1
386.5000 23.8500 0.0000 1
573.5000 27.2500 2.2000 1
1057.9000 27.5400 1.7500 1
630.4000 24.1400 0.9000 1
439.1000 23.2800 0.0000 1
760.4000 22.2000 0.9000 1
444.9000 27.0800 0.8500 1
507.4000 23.6600 0.5000 1
772.8000 27.1400 0.7000 1
760.0000 29.6100 0.9000 1
843.2000 26.7400 0.2400 1
460.2000 22.6100 0.6300 1
706.1000 29.4700 0.7500 1
917.4000 28.4000 0.9000 1
1249.0000 28.3000 2.2000 1
609.2000 24.9000 0.9000 1
326.9000 23.6900 0.0000 1
877.6000 28.8700 1.3000 1
215.0000 23.5000 0.0000 1
962.5000 30.4000 3.1500 1
766.6000 28.2000 1.5000 1
400.0000 22.7800 0.1600 1
648.5000 26.7100 1.3500 1
662.2000 25.8800 0.9800 1
1014.6000 27.0000 2.3000 1
340.4000 27.5800 0.0000 1
594.5000 25.4000 0.6500 1
828.3000 25.2500 0.7500 1
496.2000 30.4400 0.4000 1
1056.6000 28.3400 0.9000 1
446.0000 23.2000 0.9000 1
784.5000 25.8000 0.0000 1
434.6000 23.0400 0.0000 1
639.5000 25.7000 1.1000 1
653.8000 26.1600 0.0000 1
949.2000 27.5000 0.3200 1
1022.0000 27.7500 1.3000 1
538.8000 25.2600 0.1600 1
444.0000 21.9900 0.0000 1
562.4000 23.5100 1.8000 1
600.0000 27.2500 1.1000 1
912.8000 26.9100 0.9000 1
860.6000 26.0800 2.9200 1
795.0000 27.7000 2.7000 1
390.5000 24.3100 0.8500 1
803.0000 29.3000 2.7000 1
698.2000 24.7000 0.0000 1
482.0000 23.1200 0.4000 1
801.9000 29.1000 1.1800 1
862.4000 27.7200 1.8000 1
781.0000 28.9800 3.8400 1
401.6000 22.9000 0.0000 1
879.0000 28.7800 2.7000 1
558.6000 27.7600 0.9000 1
898.8000 27.6800 1.1800 1
388.0000 22.7000 0.0000 1
587.0000 24.2000 0.9000 1
563.0000 25.2000 1.8000 1
323.6000 26.8000 0.5000 1
853.2000 25.2700 0.0000 1
751.8000 26.1800 0.0000 1
764.6000 26.5400 1.8400 1
700.5000 27.0000 1.8000 1
497.6000 26.2200 0.0000 1
809.8000 26.4600 1.0600 1
528.0000 21.8800 0.2400 1
876.0000 29.2800 1.8400 1
817.5000 28.3500 2.9000 1
531.6000 24.9400 0.3600 1
733.8000 29.3000 1.9300 1
496.4000 25.3200 0.0000 1
552.0000 24.1400 0.0000 1
796.7000 28.0100 3.2400 1
649.0000 24.4800 0.0000 1
662.8000 27.4000 1.4800 1
692.4000 25.5000 1.9400 1
504.4000 26.9200 0.4000 1
557.5000 27.8000 0.0000 1
921.8000 28.6400 2.3000 1
768.0000 25.8000 0.0000 1
608.3000 26.4700 2.2000 1
823.2000 25.7900 0.9000 1
944.7000 28.0700 1.3900 1
739.9000 28.3000 1.0200 1
665.9000 26.7400 0.0000 1
638.2000 27.1800 0.7000 1
286.5000 25.9400 0.4000 1
264.6000 20.3300 0.0000 1
725.4000 26.4800 1.0600 1
919.6000 27.5400 1.8000 1
582.0000 25.5300 0.0000 1
644.4000 23.5000 0.0000 1
556.0000 24.3000 0.0000 1
906.0000 27.4000 0.9000 1
294.2000 23.0600 0.0000 1
781.3000 27.1600 2.2000 1
725.7000 27.1500 2.2000 1
611.8000 29.2800 2.2000 1
778.0000 28.4400 1.6500 1
785.6000 26.1400 2.1200 1
1040.6000 30.2200 0.0800 1
190.0000 20.5600 0.0000 1
748.4000 23.6900 0.0000 1
944.3000 27.6900 1.4400 1
952.0000 27.3000 3.5500 1
358.5000 23.8300 0.0000 1
661.4000 26.7400 0.0000 1
882.2000 27.0600 0.2800 1
392.6000 22.6600 0.0000 1
805.5000 28.3700 1.6500 1
864.7000 28.5800 1.0800 1
762.5000 22.4500 2.0000 1
638.1000 27.4200 0.9900 1
605.3000 23.6900 0.0000 1
799.6000 25.6200 1.3000 1
788.5000 26.2200 1.3000 1
754.8000 28.1800 1.6200 1
718.9000 27.5400 1.0300 1
449.6000 22.6400 0.0000 1
523.8000 25.1300 0.0000 1
334.1000 22.2900 0.0000 1
360.8000 26.8000 0.0000 1
331.2000 23.6400 0.0000 1
861.8000 27.7300 1.0200 1
407.4000 27.8600 0.3200 1
749.0000 28.4400 0.3600 1
766.0000 22.5300 0.0000 1
842.8000 27.3800 0.4000 1
603.6000 28.2800 0.9800 1
821.0000 28.4000 0.9000 1
405.5000 24.0500 0.0000 1
369.0000 25.3000 0.4000 1
515.5000 25.8400 0.4000 1
428.4000 23.1600 0.0000 1
772.1000 26.5600 2.1600 1
879.0000 27.3200 2.1200 1
802.2000 28.1900 2.7900 1
706.0000 23.6000 0.0000 1
695.9000 28.4400 1.3000 1
439.6000 25.2200 0.4000 1
639.0000 24.2000 0.9000 1
408.0000 29.1400 0.4500 1
781.0000 27.1000 0.9000 1
340.6000 23.8800 0.0000 1
494.0000 28.2800 1.4000 1
335.8000 27.4000 0.7600 1
931.5000 27.8500 2.0000 1
708.8000 26.2600 0.0000 1
1045.6000 26.3800 1.6000 1
473.6000 24.5600 0.4000 1
