Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[4, 1, 0]	[[22.80798, 36.220819999999996], [-79.6, 211.6], [15.475888500000002, 7.19833]]	0	0.1	1.0	1	1.918784	29	29	0.5	1.918784	0	0	0	0	1
[4, 0, 5]	[[22.80798, 36.220819999999996], [15.475888500000002, 7.19833], [-26.60713, 41.8849255]]	0	0.1	1.0	1	1.918784	29	29	0.5	1.918784	0	0	0	0	1
[4, 1, 0, 5]	[[22.80798, 36.220819999999996], [-79.6, 211.6], [15.475888500000002, 7.19833], [-21.223534, 74.562134]]	0	0.1	1.0	1	2.088614765002752	50	50	0.6666666666666666	2.088614765002752	0	0	0	0	1
[4, 1, 0, 5, 3, 2]	[[31.046666, 38.519534], [231.60000000000002, 1060.4], [12.783089499999999, 17.2169105], [76.21506649999999, 233.1971335], [-0.30600000000000016, 2.1060000000000003], [27.091, 29.509]]	0	0.9166666666666666	0.9166666666666666	1	397.93700645876913	9260	67	1.0	397.93700645876913	220	240	97	107	1
[1, 0, 3]	[[422.59999999999997, 848.2], [7.700206999999999, 14.9454075], [1.35, 2.25]]	0	0.9238410596026491	0.9238410596026491	1	403.52940359100705	9697	70	0.5	403.52940359100705	279	302	123	133	1
[4, 1, 0, 5]	[[29.694288, 39.658112], [138.2, 955.8], [5.790708, 11.542692], [32.24774049999999, 199.8726595]]	1	0.17109826589595376	0.17109826589595376	1	550.8998730291538	9994	73	0.6666666666666666	550.8998730291538	296	1730	125	748	1
[4, 3]	[[27.965438, 23.13582], [0.7959999999999999, 1.8040000000000003]]	0	0.1	1.0	1	3.632818931463734	85	85	0.3333333333333333	3.632818931463734	0	0	0	0	1
[5, 0, 3, 4]	[[-26.60713, 190.97317581058573], [10.741848034387916, 12.5588745], [-0.36000000000000004, 0.562], [21.766884, 28.664916]]	0	1.0	1.0	1	463.5	7930	107	0.6666666666666666	463.5	4	4	2	2	1
[4, 1, 0, 3]	[[22.80798, 36.220819999999996], [-112.0, -79.6], [15.475888500000002, 7.19833], [0.6299999999999999, 2.97]]	0	0.1	1.0	1	4.1011950631655045	109	109	0.6666666666666666	4.1011950631655045	0	0	0	0	1
[4, 1, 0, 5]	[[32.560502, 38.883697999999995], [194.09999999999997, 910.9000000000001], [7.6157615, 15.8842385], [22.301488500000005, 211.2121115]]	1	0.1738305941845765	0.1738305941845765	1	494.4225841850944	9994	129	0.6666666666666666	498.528230231368	275	1582	118	687	1
[4, 3]	[[27.965438, 33.138962], [0.7959999999999999, 1.8040000000000003]]	0	0.9987844408427877	0.9987844408427877	12	608.43317494153	9952	130	0.3333333333333333	7301.198099298359	2465	2468	1078	1079	1
[4, 1, 0, 2]	[[22.80798, 36.220819999999996], [-79.6, 211.6], [15.475888500000002, 7.19833], [24.4015, 27.0985]]	0	0.1	1.0	1	2.611366194328613	134	134	0.6666666666666666	2.611366194328613	0	0	0	0	1
[4, 0, 1]	[[22.80798, 36.220819999999996], [15.475888500000002, 7.19833], [-112.0, 251.7]]	0	0.1	1.0	1	2.611366194328613	134	134	0.5	2.611366194328613	0	0	0	0	1
[1, 0, 5, 4]	[[138.2, 955.8], [5.790708, 11.542692], [32.24774049999999, 199.8726595], [33.737876, 23.13582]]	1	0.023076923076923078	0.23076923076923078	1	6.324933632	136	136	0.6666666666666666	6.324933632	0	0	0	0	1
[5]	[[135.247014, 252.318386]]	0	0.8523255813953489	0.8523255813953489	1	469.04697463877227	9986	158	0.16666666666666666	469.04697463877227	733	860	317	371	1
[4, 1, 0, 2, 3, 5]	[[22.80798, 36.220819999999996], [-112.0, 607.4000000000001], [15.475888500000002, 7.19833], [19.490000000000002, 25.07], [-0.36000000000000004, 0.792], [-26.60713, 60.41834250000001]]	0	0.1	1.0	1	3.3450508669734917	159	159	1.0	3.3450508669734917	0	0	0	0	1
[1]	[[-112.0, 192.6]]	0	1.0	1.0	11	545.8836212473918	9997	159	0.16666666666666666	5875.149792151637	4964	4964	2169	2169	1
[0]	[[13.228810999999999, 7.19833]]	0	0.1	1.0	1	4.0	162	162	0.16666666666666666	4.0	0	0	0	0	1
