Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[1]	[[349.79999999999995, 921.0]]	0	0.8623595505617978	0.8623595505617978	2	581.7174433383243	9982	10	0.16666666666666666	1163.4348866766486	1842	2136	794	919	1
[4]	[[22.113238, 27.286762]]	0	1.0	1.0	12	749.6961726256952	9982	39	0.16666666666666666	8996.354071508344	2082	2082	891	891	1
[4]	[[19.334864, 30.065136]]	0	1.0	1.0	12	732.2055306933247	9982	39	0.16666666666666666	8786.466368319896	4578	4578	1969	1969	1
[1]	[[270.79999999999995, 1021.2]]	0	0.8851540616246498	0.8851540616246498	1	591.2244941967281	9982	67	0.16666666666666666	591.2244941967281	2528	2856	1093	1232	1
[1, 4]	[[349.79999999999995, 112.0], [27.885067999999997, 41.681132]]	0	0.1	1.0	1	2.0220441599999996	67	67	0.3333333333333333	2.0220441599999996	0	0	0	0	1
[1, 5, 4, 3]	[[317.4, 776.6], [61.51558349999999, 170.6048165], [31.035572000000002, 38.316828], [-1.1700000000000002, 1.1700000000000002]]	1	0.38372093023255816	0.38372093023255816	1	568.0818339989439	9994	73	0.6666666666666666	568.0818339989439	231	602	99	259	1
[3]	[[1.5140000000000002, 3.386]]	0	0.9840127897681854	0.9840127897681854	3	687.2405641627572	9924	76	0.16666666666666666	2061.7216924882714	2462	2502	1067	1085	1
[1, 5]	[[349.79999999999995, 1057.9342209695521], [90.3614835, 199.4507165]]	0	0.8712559117183395	0.8712559117183395	1	581.0636675914893	9982	98	0.3333333333333333	581.0636675914893	1658	1903	723	827	1
[1, 5, 4]	[[-112.0, 782.0558544530309], [-26.60713, 92.91792900000002], [23.751732, 29.116868]]	0	1.0	1.0	4	776.8116726728472	9974	100	0.5	3107.2466906913887	2245	2245	971	971	1
[5]	[[-20.558369, 48.620169000000004]]	0	0.9947437582128777	0.9947437582128777	11	735.0185300126669	9974	116	0.16666666666666666	8085.203830139336	5299	5327	2303	2316	1
[1, 5, 4, 3, 2]	[[242.4215389348684, 317.4], [61.51558349999999, 170.6048165], [31.035572000000002, 38.316828], [-0.36000000000000004, 1.1700000000000002], [24.381, 21.13]]	1	0.04285714285714286	0.42857142857142855	1	5.84	129	129	0.8333333333333334	5.84	0	0	0	0	1
[1, 5, 4, 3, 0]	[[317.4, 776.6], [61.51558349999999, 170.6048165], [38.316828, 40.53386874234258], [-0.36000000000000004, 1.1700000000000002], [9.593005999999999, 13.906994000000001]]	1	1.0	1.0	1	185.0	6966	129	0.8333333333333334	185.0	2	2	1	1	1
[1, 5, 4]	[[472.0999999999999, 1222.5], [88.36823199999999, 279.939568], [34.408518, 43.414282]]	1	0.4982078853046595	0.4982078853046595	1	478.8691816423278	9994	136	0.5	478.8691816423278	139	279	61	123	1
[5]	[[187.95918749999998, 254.4770125]]	0	0.921875	0.921875	1	413.84153512059066	9469	137	0.16666666666666666	413.84153512059066	118	128	54	59	1
[1]	[[671.4, 1186.6]]	0	0.7533632286995515	0.7533632286995515	1	483.3933958794085	9821	137	0.16666666666666666	483.3933958794085	336	446	145	192	1
[5]	[[-26.60713, 92.91792900000002]]	0	0.9853438556933484	0.9853438556933484	3	711.2451476499384	9999	141	0.16666666666666666	2133.7354429498155	7866	7983	3417	3467	1
[1]	[[347.59999999999997, 818.0]]	0	0.8633093525179856	0.8633093525179856	1	581.7168249873469	9982	146	0.16666666666666666	581.7168249873469	1800	2085	786	908	1
[1]	[[180.59999999999997, 785.4000000000001]]	0	0.9378228429309355	0.9378228429309355	2	624.9294160253221	9999	163	0.16666666666666666	1249.8588320506442	4902	5227	2129	2269	1
[1, 3, 4, 5]	[[344.0, 818.0], [2.016, 3.3840000000000003], [27.764028000000003, 23.13582], [53.576444499999994, 178.6299555]]	0	0.1	1.0	1	7.4	163	163	0.6666666666666666	7.4	0	0	0	0	1
[5]	[[-26.60713, 118.11962050000001]]	0	0.9808273297699279	0.9808273297699279	1	710.1221020462157	9999	171	0.16666666666666666	710.1221020462157	8441	8606	3683	3754	1
[1, 4, 5]	[[472.0999999999999, 1222.5], [34.408518, 23.13582], [121.20739649999999, 224.9752035]]	1	0.04000000000000001	0.4	1	5.8	180	180	0.5	5.8	0	0	0	0	1
[5, 4, 1]	[[88.36823199999999, 279.939568], [34.408518, 23.13582], [522.8, 1060.4]]	1	0.04000000000000001	0.4	1	5.8	180	180	0.5	5.8	0	0	0	0	1
[1, 5, 4, 3, 2]	[[317.4, 776.6], [61.51558349999999, 170.6048165], [31.035572000000002, 38.316828], [-0.36000000000000004, 1.1700000000000002], [23.033, 26.567]]	1	0.5028571428571429	0.5028571428571429	1	568.9132016008332	9994	191	0.8333333333333334	568.9132016008332	176	350	75	150	1
[1, 5, 4, 3]	[[317.4, 776.6], [61.51558349999999, 170.6048165], [31.035572000000002, 38.316828], [-0.36000000000000004, 1.1700000000000002]]	1	0.38344594594594594	0.38344594594594594	1	568.0818339989439	9994	191	0.6666666666666666	568.0818339989439	227	592	98	258	1
[1]	[[-112.0, 249.8]]	0	0.9965061522102385	0.9965061522102385	12	735.1904899338541	9974	198	0.16666666666666666	8822.285879206249	6560	6583	2871	2882	1
[5, 3, 2]	[[74.44981481942038, 92.91792900000002], [-0.36000000000000004, 1.1340000000000001], [20.834, 24.926]]	0	0.8300970873786407	0.8300970873786407	1	643.8817960927163	9169	198	0.5	643.8817960927163	171	206	75	89	1
[1, 5]	[[347.59999999999997, 818.0], [71.0297315, 201.40466849999999]]	0	0.8651140223192625	0.8651140223192625	1	581.7168249873469	9982	205	0.3333333333333333	581.7168249873469	1783	2061	785	905	1
[5]	[[179.72467899999998, 270.188921]]	0	0.9313725490196079	0.9313725490196079	11	439.7209314890489	9821	208	0.16666666666666666	4836.9302463795375	190	204	85	92	1
[5]	[[166.421114, 283.492486]]	0	0.8611111111111112	0.8611111111111112	2	440.3749796727242	9821	208	0.16666666666666666	880.7499593454484	310	360	136	158	1
[1, 5, 4, 3, 2, 0]	[[317.4, 776.6], [61.51558349999999, 170.6048165], [31.035572000000002, 38.316828], [-0.36000000000000004, 1.1700000000000002], [23.033, 26.567], [6.789038, 10.144362]]	1	0.5152439024390244	0.5152439024390244	2	568.9047589293307	9994	221	1.0	1137.8095178586614	169	328	73	141	1
[1, 5, 4, 3, 2]	[[317.4, 776.6], [61.51558349999999, 170.6048165], [31.035572000000002, 38.316828], [-0.36000000000000004, 1.1700000000000002], [21.0845, 27.3155]]	1	0.4849246231155779	0.4849246231155779	1	567.3852683392236	9994	221	0.8333333333333334	567.3852683392236	193	398	83	172	1
[3]	[[0.4, 2.2]]	0	0.9851204534718941	0.9851204534718941	3	693.4626951875855	9999	235	0.16666666666666666	2080.3880855627567	4171	4234	1840	1869	1
[5]	[[120.1591615, 197.3198385]]	0	0.8378136200716846	0.8378136200716846	1	520.1731204908525	9942	236	0.16666666666666666	520.1731204908525	935	1116	410	488	1
[1]	[[-112.0, 167.79999999999998]]	0	1.0	1.0	13	740.014014195853	9974	246	0.16666666666666666	100802.86383535166	4058	4058	1783	1783	1
[1]	[[472.69999999999993, 831.1]]	0	0.8286629303442754	0.8286629303442754	1	526.8305501272082	9942	273	0.16666666666666666	526.8305501272082	1035	1249	458	551	1
[5]	[[-9.605508000000007, 75.537308]]	0	0.9902978955998907	0.9902978955998907	9	712.5345990679076	9999	294	0.16666666666666666	6412.811391611169	7247	7318	3201	3232	1
[5]	[[135.347849, 279.026351]]	0	0.8515901060070671	0.8515901060070671	1	518.646506155223	9942	298	0.16666666666666666	518.646506155223	723	849	319	373	1
[1]	[[322.2, 1027.8]]	0	0.8680225010817828	0.8680225010817828	1	582.5520471211998	9982	304	0.16666666666666666	582.5520471211998	2006	2311	893	1026	1
[5]	[[-26.354172500000004, 146.5921725]]	0	0.9722682576510883	0.9722682576510883	1	710.0131704176283	9999	320	0.16666666666666666	710.0131704176283	8800	9051	3901	4011	1
[1]	[[-112.0, 372.4]]	0	0.9908090614886731	0.9908090614886731	4	712.5345762330862	9999	337	0.16666666666666666	2850.138304932345	7654	7725	3393	3424	1
[1]	[[156.8, 705.5999999999999]]	0	0.9533532828727337	0.9533532828727337	1	658.3284816418325	9999	348	0.16666666666666666	658.3284816418325	5416	5681	2410	2526	1
[5, 4, 3, 0, 1]	[[61.51558349999999, 170.6048165], [31.035572000000002, 38.316828], [-0.36000000000000004, 1.1700000000000002], [6.789038, 10.144362], [20.799999999999955, 737.6]]	1	0.43556701030927836	0.43556701030927836	1	582.8429683571388	9994	351	0.8333333333333334	582.8429683571388	169	388	74	170	1
