R_0 R_1 R_2 Class
22.0000 20.6000 0.0000 0
42.0000 20.7000 0.0000 0
56.0000 21.2000 0.0000 0
59.0000 21.4000 0.0000 0
82.0000 21.4000 0.0000 0
93.0000 21.3000 0.0000 0
105.0000 21.2000 0.0000 0
121.0000 21.3000 0.0000 0
136.0000 21.7000 0.0000 0
160.0000 22.0000 0.0000 0
207.0000 22.2000 0.0000 0
221.0000 22.4000 0.0000 0
333.0000 22.4000 0.0000 0
442.0000 22.6000 0.0000 0
585.0000 23.2000 0.0000 0
673.0000 24.3000 0.0000 0
653.0000 25.2000 0.0000 0
634.0000 24.4000 0.0000 1
612.0000 24.3000 0.0000 0
657.0000 24.4000 0.0000 0
697.0000 24.4000 0.0000 0
764.0000 24.6000 0.0000 1
773.0000 25.0000 0.4000 1
533.0000 25.1000 0.4000 0
810.0000 25.1000 0.9000 0
871.0000 25.6000 0.4000 0
667.0000 26.1000 0.0000 1
195.0000 27.0000 0.0000 0
320.0000 27.6000 0.0000 0
587.0000 28.2000 0.0000 0
365.0000 28.2000 0.0000 0
261.0000 28.2000 0.4000 0
259.0000 28.9000 0.9000 0
426.0000 29.6000 0.4000 0
470.0000 29.6000 0.9000 0
270.0000 28.9000 0.4000 0
277.0000 28.4000 0.4000 0
290.0000 28.3000 0.9000 0
256.0000 27.7000 1.3000 0
201.0000 27.2000 0.4000 0
256.0000 28.0000 1.3000 0
281.0000 28.5000 1.3000 0
906.0000 28.4000 1.3000 0
775.0000 27.6000 0.9000 0
867.0000 27.3000 1.3000 1
824.0000 27.3000 0.9000 0
484.0000 27.2000 1.8000 0
846.0000 27.2000 1.8000 0
334.0000 27.2000 1.8000 0
610.0000 26.8000 2.7000 0
266.0000 27.3000 1.3000 0
143.0000 28.4000 0.9000 0
169.0000 29.0000 0.9000 0
199.0000 28.9000 0.9000 0
250.0000 29.2000 0.9000 0
170.0000 28.9000 0.4000 0
138.0000 28.4000 0.4000 0
112.0000 28.1000 0.4000 0
135.0000 27.8000 0.4000 0
134.0000 28.0000 0.4000 0
117.0000 28.4000 0.4000 0
109.0000 28.5000 0.4000 0
97.0000 28.4000 0.4000 0
111.0000 27.7000 0.4000 0
86.0000 27.9000 0.9000 0
79.0000 27.9000 0.4000 0
66.0000 27.8000 0.4000 0
51.0000 27.7000 0.4000 0
44.0000 27.3000 0.4000 0
28.0000 27.1000 0.4000 0
15.0000 26.5000 0.0000 0
1.0000 25.6000 0.0000 0
