Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
10080	1348	2000	0.7976190476190477	0.48649999999999716	0.0	11.057420333226522
20160	1505	2000	0.8126984126984127	0.4883333333333305	0.4046511627906977	12.639914675553639
30240	1546	2000	0.8202380952380952	0.49683333333333035	0.43014230271668824	14.136081111431121
40320	1558	2000	0.8132936507936508	0.4998333333333298	0.4306803594351733	15.652347854773204
50400	1554	2000	0.8078373015873016	0.503999999999996	0.43307593307593306	17.651607433954876
60480	1544	2000	0.8175595238095238	0.4991666666666634	0.42875647668393785	19.12683346668879
70560	1570	2000	0.8065476190476191	0.5063333333333295	0.445859872611465	20.536550037066142
80640	1559	2000	0.8066468253968254	0.5079999999999971	0.4291212315586915	22.040233516693114
90720	1521	2000	0.8072420634920635	0.5101666666666633	0.45036160420775806	27.28404944340388
100800	1540	2000	0.7945436507936507	0.5164999999999984	0.461038961038961	29.002327450116475
110880	1541	2000	0.7957341269841269	0.5181666666666638	0.45489941596365996	30.301271045207976
120960	1551	2000	0.7993055555555556	0.5326666666666648	0.47130883301096066	31.674992593129478
131040	1549	2000	0.8030753968253969	0.5286666666666644	0.4925758553905746	33.05155827204386
141120	1529	2000	0.8028769841269842	0.5358333333333308	0.5068672334859385	34.45420960187912
151200	1521	2000	0.8010912698412699	0.5346666666666646	0.514792899408284	35.769188062349954
161280	1496	2000	0.7932539682539682	0.5373333333333306	0.5300802139037433	37.06352588733037
171360	1502	2000	0.7927579365079365	0.539999999999998	0.5412782956058588	38.32584925492605
181440	1472	2000	0.7911706349206349	0.547333333333331	0.5645380434782609	39.5925620396932
191520	1508	2000	0.7876984126984127	0.5518333333333312	0.596816976127321	40.79950015544891
