R_0 R_1 R_2 Class
0.0000 19.7000 0.0000 0
5.0000 19.6000 0.0000 0
22.0000 19.7000 0.0000 0
34.0000 19.8000 0.0000 0
37.0000 19.8000 0.0000 0
50.0000 19.9000 0.0000 0
59.0000 20.0000 0.0000 0
68.0000 20.2000 0.0000 0
99.0000 20.3000 0.0000 0
121.0000 20.4000 0.0000 0
133.0000 20.5000 0.0000 0
143.0000 20.6000 0.0000 0
146.0000 20.8000 0.0000 0
124.0000 21.0000 0.0000 0
113.0000 21.3000 0.0000 0
127.0000 21.3000 0.0000 0
158.0000 21.4000 0.0000 0
198.0000 21.7000 0.0000 0
259.0000 21.8000 0.0000 0
297.0000 22.0000 0.0000 0
300.0000 22.1000 0.0000 0
310.0000 22.2000 0.0000 0
331.0000 22.3000 0.0000 0
399.0000 22.7000 0.0000 0
456.0000 22.8000 0.0000 0
574.0000 23.2000 0.0000 0
596.0000 23.6000 0.0000 1
554.0000 23.8000 0.0000 0
1017.0000 24.4000 0.0000 0
440.0000 24.9000 0.0000 0
274.0000 25.0000 0.0000 0
293.0000 25.1000 0.0000 0
269.0000 25.1000 0.0000 0
402.0000 25.1000 0.0000 0
241.0000 25.1000 0.0000 0
781.0000 25.2000 0.0000 1
926.0000 26.0000 0.0000 0
269.0000 26.1000 0.0000 0
296.0000 25.8000 0.0000 0
223.0000 25.8000 0.0000 0
184.0000 25.7000 0.0000 0
145.0000 25.3000 1.8000 0
121.0000 24.6000 2.2000 0
103.0000 24.0000 1.8000 0
87.0000 23.2000 1.8000 0
108.0000 22.9000 0.0000 0
119.0000 22.8000 0.4000 0
156.0000 22.5000 0.0000 0
182.0000 22.4000 0.0000 0
176.0000 22.5000 0.0000 0
165.0000 22.6000 0.0000 0
191.0000 22.6000 0.0000 0
249.0000 22.6000 0.9000 0
312.0000 22.8000 0.9000 0
285.0000 22.9000 0.0000 0
166.0000 22.8000 1.8000 0
121.0000 22.4000 2.2000 0
99.0000 22.1000 1.8000 0
54.0000 21.8000 2.2000 0
66.0000 21.6000 1.8000 0
74.0000 21.6000 2.2000 0
53.0000 21.4000 2.2000 0
64.0000 21.4000 1.3000 0
67.0000 21.4000 0.4000 0
76.0000 21.4000 1.3000 0
72.0000 21.4000 1.3000 0
66.0000 21.4000 0.4000 0
58.0000 21.4000 0.0000 0
42.0000 21.4000 0.0000 0
12.0000 21.4000 0.0000 0
0.0000 21.3000 0.0000 0
0.0000 21.3000 0.0000 0
7.0000 20.8000 0.0000 0
17.0000 20.9000 0.0000 0
33.0000 20.9000 0.0000 0
48.0000 21.2000 0.0000 0
99.0000 21.3000 0.0000 0
133.0000 21.4000 0.0000 0
176.0000 21.7000 0.0000 0
222.0000 22.1000 0.0000 0
158.0000 22.6000 0.0000 0
211.0000 22.7000 0.0000 0
183.0000 22.8000 0.0000 0
220.0000 22.7000 0.0000 0
342.0000 22.7000 0.0000 0
394.0000 22.9000 0.0000 0
467.0000 23.3000 0.0000 0
493.0000 23.7000 0.0000 1
535.0000 24.2000 0.0000 0
568.0000 24.4000 0.0000 0
589.0000 24.6000 0.0000 0
586.0000 25.0000 0.0000 0
608.0000 25.1000 0.0000 1
564.0000 25.1000 0.0000 0
663.0000 25.2000 0.0000 0
704.0000 25.7000 0.0000 0
709.0000 26.2000 0.0000 0
734.0000 26.3000 0.0000 1
764.0000 26.7000 0.0000 0
539.0000 27.2000 0.0000 0
112.0000 27.2000 0.0000 0
86.0000 27.7000 0.4000 0
83.0000 27.7000 0.0000 0
79.0000 27.9000 0.9000 0
80.0000 28.9000 0.4000 0
272.0000 29.6000 1.3000 0
795.0000 28.7000 1.3000 0
840.0000 28.6000 1.8000 0
840.0000 28.4000 2.2000 1
837.0000 28.4000 1.3000 0
789.0000 28.4000 1.8000 0
856.0000 28.4000 0.9000 0
878.0000 28.6000 1.3000 1
860.0000 28.8000 1.3000 0
865.0000 28.8000 1.3000 0
883.0000 28.9000 1.3000 0
847.0000 28.9000 1.8000 1
525.0000 28.7000 1.3000 0
769.0000 28.4000 1.8000 0
737.0000 28.2000 1.3000 0
691.0000 28.6000 0.9000 0
726.0000 28.6000 1.3000 1
697.0000 28.8000 0.4000 0
553.0000 28.8000 1.8000 0
338.0000 27.8000 2.2000 0
465.0000 27.4000 3.6000 0
663.0000 27.3000 2.2000 0
503.0000 27.4000 2.7000 0
276.0000 26.9000 3.1000 0
179.0000 25.8000 2.7000 0
145.0000 25.2000 2.7000 0
102.0000 24.8000 1.3000 0
74.0000 24.7000 0.4000 0
28.0000 24.5000 0.4000 0
39.0000 24.2000 0.0000 0
29.0000 24.2000 0.4000 0
30.0000 23.9000 0.4000 0
23.0000 23.4000 0.0000 0
18.0000 23.3000 0.0000 0
16.0000 23.3000 0.0000 0
13.0000 23.2000 0.0000 0
7.0000 23.1000 0.0000 0
0.0000 22.9000 0.0000 0
0.0000 22.7000 0.0000 0
5.0000 20.8000 0.0000 0
11.0000 20.8000 0.0000 0
18.0000 20.8000 0.0000 0
30.0000 20.8000 0.0000 0
44.0000 20.8000 0.0000 0
58.0000 20.8000 0.0000 0
75.0000 21.0000 0.0000 0
96.0000 21.2000 0.0000 0
117.0000 21.4000 0.0000 0
141.0000 21.6000 0.0000 0
161.0000 21.8000 0.0000 0
186.0000 22.1000 0.0000 0
235.0000 22.3000 0.0000 0
279.0000 22.7000 0.0000 0
344.0000 22.9000 0.0000 0
410.0000 23.1000 0.0000 0
471.0000 23.2000 0.0000 0
579.0000 23.6000 0.0000 0
693.0000 24.1000 0.0000 1
806.0000 24.7000 0.0000 0
609.0000 25.1000 0.0000 0
