InstanceID	R_0	R_1	R_2	R_3	R_4	R_5	Class
2413	45.44725099835136	208.90610564391818	32.30778359782613	40.406290225297745	91.75448883877104	153.52930106166548	0
1364	8.908864304485542	167.87098086554604	28.23507227443797	30.525099249176314	109.40820197160885	132.59498829420139	0
680	6.952634639343657	148.54478632674827	28.175497320458657	45.76236555525949	102.45899401566722	129.63675779733046	0
230	42.44473460158057	211.02357674986933	23.01532859582883	62.6502805169604	124.13169586130286	172.31010192170538	0
2786	13.751241812480773	137.99470891977018	25.971126622181714	15.736294482654097	115.8490976140442	131.8743930534256	0
114	35.553924677030935	187.55878672480316	22.795236999088086	39.570512338880704	120.51676952989867	147.085606471121	0
1863	51.40139391596569	219.1406197309021	29.91846610402729	67.50743412079719	106.43243934360343	146.30249019582303	0
494	43.17955632985511	179.15320865047187	28.117641631604602	42.07744519394448	89.58954578093999	105.2772286745972	0
4031	39.96893106733457	203.57027441481472	30.120695757985906	50.5355802543046	99.22978373113112	147.47994557385366	0
2113	7.940178642783801	132.11250961204163	22.87824419968432	45.84522833007785	124.24012254923318	124.01215451231934	0
339	47.154740277178995	149.707897591723	29.24450149857288	57.85833431363282	75.77787788130509	86.25590277903099	0
564	27.414102651421896	204.7516940518335	27.124334694637607	42.252977081248346	99.89678336597294	126.95621792777156	0
2610	40.055666701911235	199.95288182594788	26.3095056413775	49.21288349997372	109.86595586476348	151.79064676297523	0
2241	27.884089391924075	156.4553750743477	21.931233457206943	40.85936692661186	129.72464436451912	142.5519774802104	0
2367	37.204541642564266	197.36772825762463	18.907040647891588	42.03549042748131	91.8219737552386	104.92259877059284	0
1334	21.653452209042804	170.86447495534102	25.31017306994832	40.31146864090695	108.80308666511533	140.39163603997497	0
3532	7.91208218841926	159.26893211502608	26.26649283314018	49.12231136002272	103.45632020360044	130.71331606004028	0
741	21.50299763393868	125.12173611485663	18.942972236097255	36.876410354078565	60.80765714971871	116.99629740670956	0
3026	32.6287307125518	188.93270819812528	18.91403451147447	44.624019446696884	104.75293856201482	103.86470991563812	0
3997	48.4121670655469	215.19055698870486	27.182757217613467	65.53179061507164	95.16342045623738	139.1046417243448	0
4219	20.66571541562847	176.6842126334225	25.2673000645942	38.43994970249909	121.71123225859063	149.38812572303289	0
4183	23.617741495439958	198.28325613289712	28.26472698361409	37.47613200932949	110.01346137262183	151.94845859302578	0
194	37.57121769204505	187.67360554694142	20.108832922968652	53.13180697190657	124.96819604023877	153.90160464171862	0
3067	33.733594992600224	152.14504095380957	21.05952425982183	43.68309475881275	99.88222736936635	87.44537567470536	0
1245	37.265504919162936	179.56245465404623	22.398415340544176	60.003384248470894	111.99909372432302	148.3309792855033	0
4027	43.745568402954525	203.81698207689814	30.13467490435228	56.1789560923915	102.26985769884807	145.7577819706719	0
3440	26.511873744414338	171.89585357793408	25.3135685618811	42.2910081273485	110.83276495884182	138.56963693218972	0
1326	21.638682205696153	174.7602941969071	25.313993104800907	63.60182016678709	109.18841368171516	144.38845848232478	0
